,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,11,4,3,4,8,7,9.45,0.5905,0.004435199999999999,3.7225,0.0230175,1.891,12.009,175.658
9,3,4,2,2,3,3,2,4,1.6435,0.6715,0.0224,9.25,0.11595,3.6999999999999997,30.299999999999997,2952.8
8,3,3,1,2,3,2,2,3,6.85,0.753,0.01343,14.75,0.20900000000000002,5.5,66.7,485.59999999999997
7,3,3,1,2,2,2,2,2,13.35,0.8345,0.0314,20.25,0.0697,9.1,139.5,794.0
6,2,2,1,2,2,2,1,1,12.05,0.10285,0.07619999999999999,31.25,0.34850000000000003,18.1,48.5,1102.4
5,1,1,1,2,2,1,1,0,5.550000000000001,0.5095000000000001,0.08515,53.25,0.4415,7.3,121.30000000000001,1410.8
4,1,0,0,1,1,1,1,0,10.75,0.1845,0.04035,25.75,0.2555,12.7,175.9,1719.2
3,0,0,0,1,1,1,0,0,2.95,0.2655,0.0493,36.75,0.30200000000000005,14.5,84.9,2027.6000000000001
2,0,0,0,1,0,1,0,0,4.25,0.347,0.05825,42.25,0.1625,16.3,103.1,2336.0
1,0,0,0,0,0,0,0,0,8.15,0.4285,0.06720000000000001,47.75,0.395,10.9,157.7,2644.3999999999996
