,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,47,47,92,40,29,85,93,96,35.25,0.6005,0.007424999999999999,30.0,0.028749999999999998,1.198,8.3755,200.782
9,20,38,10,29,28,15,5,5,25.950000000000003,0.5535,0.02255,42.0,0.10095000000000001,2.0,23.35,606.4000000000001
8,18,8,1,18,21,3,4,2,16.6035,0.6475,0.05265,17.94,0.0769,2.8,38.25,1010.0
7,6,4,1,6,9,2,3,2,44.55,0.7415,0.09765,54.0,0.0529,4.0,53.150000000000006,1413.6
6,5,3,1,4,9,1,1,1,53.85,0.6945,0.11249999999999999,78.0,0.125,4.8,142.55,3835.2
5,4,3,1,4,5,0,0,0,63.15,0.7885,0.14250000000000002,90.0,0.173,1.6,68.05,1817.2
4,3,1,0,3,2,0,0,0,72.44999999999999,0.8355,0.0376,66.0,0.221,2.4000000000000004,82.95,2220.8
3,2,1,0,1,2,0,0,0,100.35,0.9295,0.0677,114.0,0.245,3.2,97.85,2624.3999999999996
2,1,1,0,1,1,0,0,0,81.75,0.9764999999999999,0.08275,126.0,0.197,3.5999999999999996,112.75,3028.0
1,0,0,0,0,0,0,0,0,91.05000000000001,0.8825000000000001,0.1275,102.0,0.14900000000000002,4.4,127.65,3431.6000000000004
