name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
RÄTHINN SOMMER,0.0,14,0.7916666666666666,0.7916666666666666,41,0.12955579364325004,1.2631578947368423,1.2631578947368423,3,53,1036,39,5847,16.0,16.0,18.0,15.0,17.0,17.0,13.0,12.0,15.5,0.25877458475338283,18.0,8.0,18.0,15.0,16.5,18.0
HERR VON HACKEN,0.0004177109440267335,15,0.8260869565217391,0.8260869565217391,55,0.17077114330317453,1.2105263157894737,1.2105263157894737,4,9,56,9,316,8.0,8.0,10.0,7.0,7.0,10.0,19.0,18.0,10.875,0.6066502728685025,13.0,18.0,7.0,18.0,12.5,13.0
FRAU VON DORN,0.0004177109440267335,15,0.8260869565217391,0.8260869565217391,55,0.17077114330317453,1.2105263157894737,1.2105263157894737,4,74,825,90,4250,8.0,8.0,10.0,7.0,7.0,10.0,10.0,14.0,9.25,0.28931878117892235,10.0,10.0,7.0,11.0,9.0,9.0
MARIE,0.06015037593984961,17,0.9047619047619048,0.9047619047619048,29,0.09851876533143898,1.1052631578947367,1.1052631578947367,7,148,4201,353,23017,4.0,4.0,2.0,18.0,18.0,9.0,7.0,2.0,8.0,0.8264597475290096,7.0,20.0,14.0,6.0,10.0,10.0
WOLF,0.008771929824561403,9,0.6551724137931034,0.6551724137931034,35,0.14189208809386555,1.5263157894736843,1.5263157894736843,8,72,2094,42,11767,17.0,17.0,8.0,17.0,15.0,8.0,11.0,7.0,12.5,0.5590169943749475,16.0,17.0,17.0,9.0,13.0,15.0
WALDBERG,0.06836535783904203,18,0.95,0.95,111,0.3658271162880913,1.0526315789473684,1.0526315789473684,21,278,3128,231,16874,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.75,0.12938729237669142,2.0,4.0,1.0,2.0,1.5,2.0
HERR VON DORN,0.0004177109440267335,15,0.8260869565217391,0.8260869565217391,55,0.17077114330317453,1.2105263157894737,1.2105263157894737,4,41,302,39,1750,8.0,8.0,10.0,7.0,7.0,10.0,14.0,16.0,10.0,0.4172614801981401,11.0,12.0,7.0,14.0,10.5,11.0
BLÜMLEIN,0.050821498189919226,18,0.95,0.95,87,0.28410408244923213,1.0526315789473684,1.0526315789473684,13,179,4422,123,24727,1.0,1.0,3.0,6.0,6.0,6.0,4.0,1.0,3.5,0.2912411862553588,3.0,11.0,3.0,3.0,3.0,3.0
BARONINN,0.050821498189919226,18,0.95,0.95,115,0.3668864600787928,1.0526315789473684,1.0526315789473684,21,295,4155,235,22389,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.5,0.11572751247156893,1.0,3.0,1.0,1.0,1.0,1.0
FRÄULEIN GRINZBERG,0.0004177109440267335,15,0.8260869565217391,0.8260869565217391,55,0.17077114330317453,1.2105263157894737,1.2105263157894737,4,37,236,37,1208,8.0,8.0,10.0,7.0,7.0,10.0,16.0,17.0,10.375,0.4952339814961928,12.0,16.0,7.0,16.0,11.5,12.0
FRAU VON LICHTBERG,0.0004177109440267335,15,0.8260869565217391,0.8260869565217391,55,0.17077114330317453,1.2105263157894737,1.2105263157894737,4,81,892,61,5117,8.0,8.0,10.0,7.0,7.0,10.0,9.0,13.0,9.0,0.25,9.0,7.0,7.0,10.0,8.5,8.0
