,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,2,2,4,2,2,3,2,1,3.75,0.75,0.018711,9.25,0.353,5.75,82.6,110.6625
9,2,2,2,2,2,2,1,1,4.75,0.841,0.0567,15.25,0.4995,1.2475,5.752,546.75
8,1,1,1,1,1,2,1,1,1.2475,0.5680000000000001,0.359,1.7425,0.060200000000000004,2.75,15.399999999999999,764.25
7,1,1,0,1,1,0,1,1,2.75,0.659,0.0943,3.25,0.1094,1.75,44.2,981.75
6,1,1,0,1,1,0,1,1,5.75,0.9775,0.132,13.75,0.4505,2.25,53.8,1634.25
5,0,0,0,0,0,0,1,1,1.75,0.6134999999999999,0.16999999999999998,4.75,0.158,3.25,92.2,1851.75
4,0,0,0,0,0,0,0,1,2.25,0.7045,0.20800000000000002,6.25,0.20650000000000002,3.75,25.0,2069.25
3,0,0,0,0,0,0,0,0,3.25,0.7955,0.2455,7.75,0.2555,4.25,34.6,329.25
2,0,0,0,0,0,0,0,0,4.25,0.8865000000000001,0.28300000000000003,10.75,0.3045,4.75,63.400000000000006,1199.25
1,0,0,0,0,0,0,0,0,5.25,0.9319999999999999,0.321,12.25,0.40149999999999997,5.25,73.0,1416.75
