name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
FIEKCHEN,0.18205128205128207,11,0.8235294117647058,0.8235294117647058,29,0.3569108220828278,1.2142857142857144,1.2142857142857144,14,66,1447,37,7728,2.0,2.0,2.0,5.0,4.0,3.0,6.0,7.0,3.875,0.24492619150616435,4.0,12.0,2.0,6.0,4.0,4.0
STROM,0.02197802197802198,6,0.6363636363636364,0.6363636363636364,13,0.164263725037145,1.5714285714285714,1.5714285714285714,6,74,1677,42,8998,7.0,7.0,4.0,8.0,8.0,7.0,4.0,4.0,6.125,0.22596519169363863,7.0,11.0,6.0,5.0,5.5,5.0
LACKEY,0.0,2,0.5384615384615384,0.5384615384615384,2,0.030359689130927726,1.8571428571428572,1.8571428571428572,1,2,51,1,276,11.0,11.0,11.0,12.0,12.0,12.0,14.0,14.0,12.125,0.15580293184477811,14.0,6.0,12.0,14.0,13.0,14.0
SYLVESTER,0.0015698587127158557,6,0.6363636363636364,0.6363636363636364,16,0.22670638380651087,1.5714285714285714,1.5714285714285714,6,80,2426,40,13069,7.0,7.0,9.0,6.0,6.0,7.0,3.0,3.0,6.0,0.25877458475338283,6.0,13.0,8.0,3.0,5.5,5.0
CATHRINE,0.0015698587127158557,4,0.5833333333333334,0.5833333333333334,6,0.07832368405146993,1.7142857142857142,1.7142857142857142,6,58,1651,30,8814,10.0,10.0,9.0,10.0,10.0,7.0,7.0,6.0,8.625,0.21062725200152588,10.0,10.0,10.0,7.0,8.5,8.0
TABLETKRÄMER,0.0,2,0.5384615384615384,0.5384615384615384,2,0.030359689130927726,1.8571428571428572,1.8571428571428572,1,4,78,3,435,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,11.75,0.08838834764831845,12.0,3.0,12.0,12.0,12.0,12.0
MATERIALISTENJUNGE,0.0,2,0.5384615384615384,0.5384615384615384,2,0.030359689130927726,1.8571428571428572,1.8571428571428572,1,2,16,2,93,11.0,11.0,11.0,12.0,12.0,12.0,14.0,15.0,12.25,0.18600595228571123,15.0,9.0,12.0,15.0,13.5,15.0
LIESCHEN,0.013657770800627946,8,0.7,0.7,34,0.40771360013381797,1.4285714285714286,1.4285714285714286,12,73,1664,41,8978,3.0,3.0,5.0,2.0,2.0,4.0,5.0,5.0,3.625,0.1628087725786649,3.0,8.0,2.0,4.0,3.0,2.0
FRAU SYLVESTERINN,0.39461015175300895,14,1.0,1.0,57,0.5321067853516509,1.0,1.0,32,348,6986,226,37189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
GOLDSCHMIDTSJUNGE,0.0,2,0.5384615384615384,0.5384615384615384,2,0.030359689130927726,1.8571428571428572,1.8571428571428572,1,3,83,1,449,11.0,11.0,11.0,12.0,12.0,12.0,13.0,12.0,11.75,0.08838834764831845,12.0,3.0,12.0,12.0,12.0,12.0
FRIEDRICH,0.0070643642072213495,6,0.6363636363636364,0.6363636363636364,12,0.16299829122650822,1.5714285714285714,1.5714285714285714,7,40,589,30,3082,7.0,7.0,7.0,9.0,9.0,6.0,9.0,9.0,7.875,0.15580293184477811,8.0,6.0,9.0,9.0,9.0,10.0
FORTUNAT,0.027655677655677658,8,0.7,0.7,31,0.3547076615476124,1.4285714285714286,1.4285714285714286,17,195,4141,141,22271,3.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,2.875,0.12387890112063936,2.0,5.0,4.0,2.0,3.0,2.0
RENNER,0.006514913657770801,7,0.6666666666666666,0.6666666666666666,15,0.18977045917127877,1.5,1.5,4,25,450,15,2412,6.0,6.0,8.0,7.0,7.0,10.0,11.0,11.0,8.25,0.2651650429449553,9.0,15.0,6.0,11.0,8.5,8.0
RICHARDINN,0.013657770800627946,8,0.7,0.7,30,0.38064168984526864,1.4285714285714286,1.4285714285714286,10,55,1155,39,6339,3.0,3.0,5.0,4.0,3.0,5.0,8.0,8.0,4.875,0.2625212576426635,5.0,14.0,5.0,8.0,6.5,7.0
SORGER,0.0,2,0.5384615384615384,0.5384615384615384,3,0.041951934419428544,1.8571428571428572,1.8571428571428572,2,32,524,22,2842,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.75,0.057863756235784464,11.0,2.0,11.0,10.0,10.5,11.0
