,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,6,13,6,6,6,6,7,2.5940000000000003,0.5615,0.0195525,4.7225,0.0552,2.5345,19.127000000000002,361.015
9,4,4,1,3,3,4,4,4,7.4,0.654,0.1775,32.25,0.35650000000000004,5.65,53.900000000000006,1758.5
8,3,3,1,2,2,1,3,1,6.199999999999999,0.7,0.375,10.25,0.156,8.75,88.5,1061.5
7,1,1,0,2,2,1,1,1,3.8000000000000003,0.8385,0.0592,15.75,0.20600000000000002,11.850000000000001,192.3,2455.5
6,1,1,0,1,1,1,1,1,11.0,0.977,0.09845,26.75,0.40700000000000003,14.95,330.7,3849.5
5,1,0,0,1,1,1,0,1,13.4,0.608,0.138,54.25,0.507,18.05,123.1,6637.5
4,0,0,0,0,0,1,0,0,5.0,0.746,0.217,21.25,0.10575000000000001,30.45,157.7,3152.5
3,0,0,0,0,0,0,0,0,8.6,0.792,0.2565,37.75,0.256,21.15,226.89999999999998,4546.5
2,0,0,0,0,0,0,0,0,9.8,0.885,0.29600000000000004,43.25,0.30600000000000005,24.25,261.5,5243.5
1,0,0,0,0,0,0,0,0,12.2,0.931,0.3355,48.75,0.45699999999999996,27.35,296.1,5940.5
