name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ADALGISE,0.0,10,0.5,0.5,10,0.033419141694946676,2.0,2.0,1,3,34,2,211,6.0,10.0,11.0,10.0,14.0,11.0,16.0,18.0,12.0,0.47715675771026383,13.0,12.0,9.0,17.0,13.0,12.0
TATERL,0.0,10,0.5,0.5,10,0.033419141694946676,2.0,2.0,1,1,56,0,326,6.0,10.0,11.0,10.0,14.0,11.0,23.0,14.0,12.375,0.6229878323737265,14.0,20.0,9.0,18.0,13.5,13.0
JETTE,0.0,2,0.40298507462686567,0.40298507462686567,2,0.024625995397918363,2.4814814814814814,2.4814814814814814,1,3,149,1,818,27.0,27.0,11.0,27.0,27.0,11.0,16.0,11.0,19.625,1.0065355628519612,27.0,27.0,27.0,15.0,21.0,23.0
SEIN WEIB (ARBEITER),0.0,10,0.5,0.5,10,0.033419141694946676,2.0,2.0,1,1,8,1,46,6.0,10.0,11.0,10.0,14.0,11.0,23.0,25.0,13.75,0.8391907241077986,19.0,25.0,9.0,26.0,17.5,19.0
EIN TEIL DER GESELLSCHAFT,0.0,6,0.42857142857142855,0.42857142857142855,6,0.03097892617771736,2.3333333333333335,2.3333333333333335,1,2,8,2,54,19.0,20.0,11.0,20.0,23.0,11.0,19.0,25.0,18.5,0.6338656910463875,23.0,21.0,23.0,23.0,23.0,25.0
EIN STROLCH,0.0,1,0.40298507462686567,0.40298507462686567,1,0.01614837045254287,2.4814814814814814,2.4814814814814814,1,4,87,3,458,28.0,27.0,11.0,28.0,28.0,11.0,13.0,12.0,19.75,1.0726927066299756,28.0,28.0,28.0,11.0,19.5,21.0
FRAU SEITZER,0.0,10,0.5,0.5,10,0.033419141694946676,2.0,2.0,1,4,40,4,224,6.0,10.0,11.0,10.0,14.0,11.0,13.0,17.0,11.5,0.40642166702646576,12.0,10.0,9.0,16.0,12.5,11.0
BURSCHE,0.0,10,0.5,0.5,10,0.033419141694946676,2.0,2.0,1,3,17,2,86,6.0,10.0,11.0,10.0,14.0,11.0,16.0,22.0,12.5,0.6050383695034791,15.0,18.0,9.0,20.0,14.5,15.0
DIE ANDEREN SCHREIBER,0.0,5,0.42857142857142855,0.42857142857142855,5,0.046725132078283146,2.3333333333333335,2.3333333333333335,1,1,10,1,52,24.0,20.0,11.0,24.0,12.0,11.0,23.0,24.0,18.625,0.7732627418007044,24.0,23.0,21.0,25.0,23.0,25.0
ALWINE,0.15220890220890218,12,0.6428571428571429,0.6428571428571429,28,0.31963102013696904,1.5555555555555554,1.5555555555555554,9,69,1504,44,8266,4.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,4.875,0.1940809385650371,4.0,4.0,3.0,7.0,5.0,4.0
