name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
EIN ANDERER BLINDER,0.0,7,0.46938775510204084,0.46938775510204084,7,0.08058216281699146,2.1304347826086953,2.1304347826086953,1,1,22,0,102,14.0,15.0,10.0,14.0,16.0,13.0,18.0,16.0,14.5,0.2988071523335984,17.0,11.0,16.0,17.0,16.5,17.0
VERWALTER,0.0,2,0.4423076923076923,0.4423076923076923,2,0.030304438184091058,2.2608695652173916,2.2608695652173916,1,5,116,3,611,21.0,21.0,10.0,21.0,22.0,13.0,14.0,15.0,17.125,0.5803228011817462,23.0,19.0,21.0,15.0,18.0,22.0
EIN BUCKLIGTER,0.0,7,0.46938775510204084,0.46938775510204084,7,0.08058216281699146,2.1304347826086953,2.1304347826086953,1,1,5,1,35,14.0,15.0,10.0,14.0,16.0,13.0,18.0,21.0,15.125,0.41424145391650163,19.0,13.0,16.0,21.0,18.5,24.0
ZIERAU,0.14874666396405525,12,0.6764705882352942,0.6764705882352942,17,0.21698070930162403,1.4782608695652173,1.4782608695652173,7,55,1640,28,9362,4.0,2.0,2.0,6.0,7.0,6.0,6.0,4.0,4.625,0.2403262291731209,5.0,6.0,5.0,5.0,5.0,5.0
DONNA DIANA,0.14119455423803248,12,0.575,0.575,17,0.18147922614963985,1.7391304347826089,1.7391304347826089,7,53,1754,22,9369,4.0,8.0,4.0,6.0,8.0,6.0,7.0,3.0,5.75,0.23857837885513192,6.0,5.0,7.0,5.0,6.0,6.0
PRINZ,0.1424419783115435,13,0.6764705882352942,0.6764705882352942,25,0.39669304359431673,1.4782608695652173,1.4782608695652173,13,114,2793,66,15522,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0944911182523068,1.0,1.0,1.0,2.0,1.5,1.0
BÜRGERMEISTER,0.0,1,0.4107142857142857,0.4107142857142857,2,0.024987366754964702,2.4347826086956523,2.4347826086956523,2,13,566,2,3040,23.0,23.0,10.0,21.0,23.0,11.0,11.0,9.0,16.375,0.8262909272336054,21.0,24.0,23.0,10.0,16.5,17.0
BABET,0.010626330191547581,4,0.5348837209302325,0.5348837209302325,7,0.1203415731995411,1.8695652173913044,1.8695652173913044,5,37,639,29,3552,19.0,9.0,9.0,14.0,9.0,8.0,8.0,8.0,10.5,0.49551560448255744,9.0,15.0,14.0,8.0,11.0,9.0
BLINDER,0.0,7,0.46938775510204084,0.46938775510204084,7,0.08058216281699146,2.1304347826086953,2.1304347826086953,1,2,20,2,108,14.0,15.0,10.0,14.0,16.0,13.0,16.0,17.0,14.375,0.2749797070434731,16.0,10.0,16.0,16.0,16.0,16.0
FRAU VON BIEDERLING,0.09775767710550319,12,0.6764705882352942,0.6764705882352942,25,0.41750945258209093,1.4782608695652173,1.4782608695652173,9,68,1302,40,6945,4.0,2.0,7.0,2.0,2.0,4.0,5.0,6.0,4.0,0.24090602791485788,4.0,7.0,4.0,4.0,4.0,4.0
EINE DAME,0.0,8,0.5111111111111111,0.5111111111111111,8,0.08683877627812901,1.956521739130435,1.956521739130435,1,2,12,2,59,9.0,10.0,10.0,9.0,10.0,13.0,16.0,18.0,11.875,0.43010328908962586,10.0,14.0,9.0,17.0,13.0,10.0
EINE ANDERE MASKE,0.0,8,0.5111111111111111,0.5111111111111111,8,0.08683877627812901,1.956521739130435,1.956521739130435,1,1,5,1,26,9.0,10.0,10.0,9.0,10.0,13.0,18.0,21.0,12.5,0.5708702629694922,12.0,17.0,9.0,21.0,15.0,13.0
ALLE,0.0,7,0.46938775510204084,0.46938775510204084,7,0.08058216281699146,2.1304347826086953,2.1304347826086953,1,1,10,1,54,14.0,15.0,10.0,14.0,16.0,13.0,18.0,19.0,14.875,0.3563048203434806,18.0,12.0,16.0,19.0,17.5,20.0
MAGISTER BEZA,0.14038968278098715,12,0.6571428571428571,0.6571428571428571,16,0.24598769963496345,1.5217391304347827,1.5217391304347827,5,28,514,17,2966,4.0,5.0,5.0,8.0,6.0,8.0,9.0,10.0,6.875,0.2708905617192512,8.0,9.0,6.0,9.0,7.5,8.0
