,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,2,2,4,3,3,4,3,3,4.75,0.6085,0.0057915,4.8315,0.0749,3.25,18.1,176.9615
9,2,2,3,2,3,2,2,2,6.85,0.65,0.0175,23.35,0.35650000000000004,1.7425,46.3,710.95
8,2,2,2,2,2,2,1,2,8.25,0.7735000000000001,0.111,38.15,0.4975,9.25,8.653,1244.0500000000002
7,2,2,1,1,1,2,1,2,9.65,0.8145,0.029150000000000002,8.55,0.12179999999999999,15.25,27.5,1777.15
6,1,2,1,1,1,1,1,1,3.3465,0.9795,0.0525,12.25,0.16849999999999998,6.25,36.900000000000006,355.54999999999995
5,1,1,0,1,1,0,1,1,4.050000000000001,0.897,0.04085,15.95,0.2155,4.75,74.5,1599.4499999999998
4,1,0,0,1,0,0,1,0,8.95,0.6915,0.06415,27.049999999999997,0.26249999999999996,7.75,83.9,533.25
3,0,0,0,0,0,0,1,0,5.449999999999999,0.7324999999999999,0.07585,19.65,0.3095,10.75,93.3,888.65
2,0,0,0,0,0,0,0,0,6.15,0.8554999999999999,0.0875,30.75,0.40349999999999997,12.25,55.7,1066.35
1,0,0,0,0,0,0,0,0,7.550000000000001,0.9385,0.09914999999999999,34.45,0.4505,13.75,65.1,1421.75
