,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,9,22,9,15,12,20,22,12.75,0.48950000000000005,0.010197,1.98,0.019206,1.594,5.7025,179.329
9,6,9,5,5,4,6,6,4,2.55,0.5549999999999999,0.0309,6.0,0.0582,5.199999999999999,15.25,889.5
8,5,5,2,5,4,5,5,3,16.15,0.4245,0.051449999999999996,10.0,0.2905,2.8,24.75,535.3
7,4,5,2,4,3,4,1,2,4.25,0.6205,0.1335,22.0,0.1355,6.4,34.25,1597.9
6,3,4,1,3,3,2,1,1,0.8415,0.359,0.1545,26.0,0.3685,4.0,91.25,1243.6999999999998
5,2,1,1,2,2,1,0,1,5.949999999999999,0.0323235,0.1955,30.0,0.21350000000000002,7.6,43.75,3368.9
4,2,0,0,2,1,1,0,0,9.35,0.09815,0.072,34.0,0.0968,8.8,53.25,1952.1
3,1,0,0,1,1,1,0,0,7.65,0.1635,0.09265,14.0,0.3295,10.0,62.75,2306.3
2,1,0,0,1,0,1,0,0,11.05,0.2285,0.11299999999999999,18.0,0.1745,12.4,72.25,2660.5
1,1,0,0,1,0,0,0,0,14.45,0.2935,0.175,38.0,0.252,11.2,81.75,3014.7
