name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
DAS MÄDCHEN,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,5,37,4,213,1.0,1.0,1.0,1.0,1.0,1.0,7.0,9.0,2.75,0.4105201404490232,9.0,9.0,1.0,9.0,5.0,9.0
MERKURIUS,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,18,306,11,1670,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,2.0,0.24090602791485788,5.0,5.0,1.0,5.0,3.0,5.0
WIELAND,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,36,488,29,2817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.375,0.13258252147247765,2.0,3.0,1.0,2.0,1.5,2.0
EURIPIDES,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,21,904,7,5166,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
PLUTO,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,1,34,0,172,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,3.25,0.5207738061220603,10.0,10.0,1.0,10.0,5.5,10.0
ALCESTE,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,18,575,9,3165,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.625,0.1484668673956776,4.0,4.0,1.0,4.0,2.5,4.0
CHARON,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,5,82,4,467,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,2.625,0.3775951866748304,8.0,8.0,1.0,8.0,4.5,8.0
LITERATOR,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,5,95,3,574,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,2.5,0.3471825374147068,7.0,7.0,1.0,7.0,4.0,7.0
ADMET,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,13,485,6,2719,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.125,0.2625212576426635,6.0,6.0,1.0,6.0,3.5,6.0
HERKULES,0.0,9,1.0,1.0,9,0.31622776601683794,1.0,1.0,1,19,757,6,4219,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.375,0.09300297614285562,2.0,2.0,1.0,2.0,1.5,2.0
