,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,10,10,10,10,10,3,4,8.998999999999999,0.9999,-0.0001,8.998999999999999,0.316195,0.9999,6.25,77.065
9,0,0,0,0,0,0,2,2,8.992,0.9991,-0.0009,8.992,0.31594,0.9991,16.75,512.5
8,0,0,0,0,0,0,2,1,8.994,0.9993,-0.0007,8.994,0.316005,0.9993,20.25,338.5
7,0,0,0,0,0,0,1,1,8.9955,0.9995,-0.0005,8.9955,0.31606999999999996,0.9995,2.7325,599.5
6,0,0,0,0,0,0,1,1,8.997,0.9997,-0.00030000000000000003,8.997,0.31613,0.9997,13.25,773.5
5,0,0,0,0,0,0,1,1,9.001000000000001,1.0001,0.0001,9.001000000000001,0.31626,1.0001,34.25,860.5
4,0,0,0,0,0,0,0,0,9.003,1.0003,0.00030000000000000003,9.003,0.31632000000000005,1.0003,9.75,164.5
3,0,0,0,0,0,0,0,0,9.0045,1.0005,0.0005,9.0045,0.316385,1.0005,23.75,251.5
2,0,0,0,0,0,0,0,0,9.006,1.0007,0.0007,9.006,0.31645,1.0007,27.25,425.5
1,0,0,0,0,0,0,0,0,9.008,1.0009,0.0009,9.008,0.31650999999999996,1.0009,30.75,686.5
