,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,3,2,2,1,1,2,1.9998,0.9999,-0.0001,2.95,0.6194999999999999,1.099,90.86099999999999,2085.501
9,0,0,0,1,1,1,1,1,1.9982,0.9991,-0.0009,2.0495,0.4685,1.9,114.30000000000001,4605.1
8,0,0,0,0,0,1,1,0,1.9986,0.9993,-0.0007,2.1500000000000004,0.485,2.9,161.1,2366.7
7,0,0,0,0,0,0,0,0,1.999,0.9995,-0.0005,2.25,0.5015000000000001,1.2999999999999998,98.69999999999999,2646.5
6,0,0,0,0,0,0,0,0,1.9994,0.9997,-0.00030000000000000003,2.3499999999999996,0.5185,1.5,106.5,2926.3
5,0,0,0,0,0,0,0,0,2.0002,1.0001,0.0001,2.45,0.5355000000000001,1.7000000000000002,122.1,3206.1
4,0,0,0,0,0,0,0,0,2.0006,1.0003,0.00030000000000000003,2.55,0.5525,2.1,129.9,3485.9
3,0,0,0,0,0,0,0,0,2.001,1.0005,0.0005,2.6500000000000004,0.569,2.3,137.7,3765.7
2,0,0,0,0,0,0,0,0,2.0014,1.0007,0.0007,2.75,0.5854999999999999,2.5,145.5,4045.5
1,0,0,0,0,0,0,0,0,2.0018,1.0009,0.0009,2.8499999999999996,0.6025,2.7,153.3,4325.299999999999
