name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.2567099567099567,21,0.9565217391304348,0.9565217391304348,45,0.28423357223406903,1.0454545454545454,1.0454545454545454,9,25,385,83,2100,1.0,1.0,1.0,4.0,5.0,6.0,11.0,11.0,5.0,0.5218442570072306,6.0,21.0,1.0,11.0,6.0,6.0
DISTICHON,0.03683776540919398,16,0.7857142857142857,0.7857142857142857,48,0.37736204682969304,1.2727272727272727,1.2727272727272727,9,92,1272,107,7035,3.0,3.0,4.0,2.0,2.0,6.0,6.0,6.0,4.0,0.22160131510697959,4.0,3.0,2.0,5.0,3.5,3.0
AFFRIDURO,0.007544836116264688,9,0.6285714285714286,0.6285714285714286,30,0.2749042378219143,1.590909090909091,1.590909090909091,7,39,1245,26,7142,15.0,15.0,9.0,9.0,7.0,9.0,10.0,7.0,10.125,0.397747564417433,10.0,19.0,11.0,10.0,10.5,11.0
ALLE DICHTER,0.0,12,0.6875,0.6875,12,0.07483991868467621,1.4545454545454546,1.4545454545454546,1,0,0,0,0,9.0,9.0,15.0,16.0,13.0,17.0,23.0,23.0,15.625,0.6778955750809159,18.0,23.0,13.0,23.0,18.0,18.0
DIE PHANTASIE,0.0,12,0.6875,0.6875,23,0.14483681296897852,1.4545454545454546,1.4545454545454546,6,49,1192,85,6785,9.0,9.0,15.0,10.0,11.0,10.0,7.0,8.0,9.875,0.302057675429237,9.0,9.0,10.0,8.0,9.0,9.0
FREMDER,0.005916305916305917,8,0.6111111111111112,0.6111111111111112,15,0.041694464514171865,1.6363636363636362,1.6363636363636362,3,20,196,18,1053,16.0,16.0,10.0,12.0,19.0,13.0,12.0,13.0,13.875,0.3625153937618177,15.0,14.0,18.0,12.0,15.0,15.0
NACHTIGALL,0.06724386724386723,16,0.7857142857142857,0.7857142857142857,32,0.1764203057957357,1.2727272727272727,1.2727272727272727,10,150,3732,177,20297,3.0,3.0,3.0,8.0,10.0,5.0,3.0,1.0,4.5,0.3779644730092272,5.0,17.0,6.0,3.0,4.5,5.0
ARROGANTIA,0.016635745207173775,15,0.7586206896551724,0.7586206896551724,38,0.2618889796164898,1.3181818181818183,1.3181818181818183,9,137,1109,122,5991,5.0,5.0,5.0,7.0,8.0,6.0,5.0,9.0,6.25,0.19764235376052372,7.0,2.0,7.0,7.0,7.0,7.0
EIN DICHTER,0.003710575139146567,13,0.7096774193548387,0.7096774193548387,23,0.17906353974708997,1.409090909090909,1.409090909090909,4,6,194,0,1090,8.0,8.0,13.0,10.0,9.0,12.0,16.0,14.0,11.25,0.37050882002225766,12.0,15.0,9.0,14.0,11.5,12.0
NARR,0.016635745207173775,15,0.7586206896551724,0.7586206896551724,51,0.4069478627106086,1.3181818181818183,1.3181818181818183,11,147,2816,207,15712,5.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,3.25,0.23857837885513192,2.0,5.0,3.0,3.0,3.0,2.0
