,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,6,19,4,7,8,12,12,11.65,0.6925,0.0127215,6.326499999999999,0.0317,1.495,10.7415,184.73399999999998
9,4,5,1,4,4,4,3,3,6.550000000000001,0.5705,0.0385,11.05,0.07135,10.5,32.55,1306.1999999999998
8,4,5,1,4,4,3,3,2,8.25,0.7735000000000001,0.06415,15.75,0.269,2.5,141.05,559.8
7,3,4,1,4,3,3,2,2,15.05,0.611,0.09,43.95,0.387,8.5,54.25,3545.4
6,2,1,1,2,2,1,1,1,16.75,0.6515,0.244,25.15,0.19,3.5,97.65,933.0
5,1,1,0,2,1,1,1,1,4.8415,0.855,0.11549999999999999,29.85,0.11105000000000001,4.5,162.75,2052.6
4,1,1,0,2,1,1,1,1,9.95,0.9365,0.14100000000000001,48.65,0.15050000000000002,5.5,206.15,2799.0
3,1,0,0,1,1,1,0,1,13.35,0.733,0.16699999999999998,39.25,0.34750000000000003,6.5,75.94999999999999,3172.2
2,1,0,0,0,0,1,0,0,18.450000000000003,0.8145,0.1925,20.450000000000003,0.22949999999999998,9.5,119.35,1679.4
1,1,0,0,0,0,0,0,0,20.15,0.8955,0.218,34.55,0.3085,7.5,184.45,2425.8
