,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,5,2,3,3,2,3,3.75,0.75,0.021433499999999998,2.089,0.4985,10.75,6.663,507.8365
9,1,1,1,2,1,2,2,1,1.2475,0.5680000000000001,0.10835,19.700000000000003,0.05365,1.7425,73.3,2018.45
8,1,1,1,1,1,1,1,1,1.75,0.6134999999999999,0.4115,8.7,0.1033,3.25,14.100000000000001,2521.15
7,1,1,0,1,1,1,1,1,4.75,0.841,0.065,15.299999999999999,0.2515,15.25,36.3,3526.55
6,1,1,0,1,1,0,1,1,5.75,0.9775,0.1515,21.9,0.39949999999999997,4.75,43.7,5034.65
5,0,0,0,0,0,0,0,0,2.25,0.659,0.195,4.300000000000001,0.1525,6.25,21.5,1013.0500000000001
4,0,0,0,0,0,0,0,0,2.75,0.7045,0.2385,6.5,0.202,7.75,28.9,1515.75
3,0,0,0,0,0,0,0,0,3.25,0.7955,0.2815,10.9,0.3005,9.25,51.099999999999994,3023.85
2,0,0,0,0,0,0,0,0,4.25,0.8865000000000001,0.32499999999999996,13.1,0.35,12.25,58.5,4029.25
1,0,0,0,0,0,0,0,0,5.25,0.9319999999999999,0.3685,17.5,0.44899999999999995,13.75,65.9,4531.950000000001
