name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,36,187,52,1131,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,2.375,0.3594235215691133,6.0,8.0,1.0,6.0,3.5,6.0
PENELOPEIA,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,8,253,5,1461,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,2.5,0.3471825374147068,7.0,6.0,1.0,7.0,4.0,7.0
UNTERER CHOR,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,2,5,2,33,1.0,1.0,1.0,1.0,1.0,1.0,10.0,11.0,3.375,0.5507199022318747,10.0,10.0,1.0,10.0,5.5,10.0
DRITTER FREIER,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,75,1212,60,6945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.25,0.08838834764831845,2.0,2.0,1.0,2.0,1.5,2.0
EINE ANDERE,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,1,2,1,12,1.0,1.0,1.0,1.0,1.0,1.0,13.0,14.0,4.125,0.7240680586598394,14.0,14.0,1.0,14.0,7.5,14.0
DRITTER CHORSPRECHER,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,1,75,0,442,1.0,1.0,1.0,1.0,1.0,1.0,13.0,10.0,3.625,0.6157802106735347,12.0,12.0,1.0,12.0,6.5,12.0
ZWEITER FREIER,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,64,1238,48,7314,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.375,0.09300297614285562,3.0,3.0,1.0,3.0,2.0,3.0
TELEMACHOS,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,6,300,2,1655,1.0,1.0,1.0,1.0,1.0,1.0,8.0,6.0,2.5,0.3535533905932738,7.0,7.0,1.0,7.0,4.0,7.0
ERSTER FREIER,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,74,1558,50,9160,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
SÄNGER,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,4,218,34,1270,1.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,2.875,0.4352621336620037,9.0,9.0,1.0,9.0,5.0,9.0
ODYSSEUS,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,13,629,22,3790,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,0.23145502494313785,4.0,4.0,1.0,4.0,2.5,4.0
OBERER CHOR,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,2,5,2,30,1.0,1.0,1.0,1.0,1.0,1.0,10.0,11.0,3.375,0.5507199022318747,10.0,10.0,1.0,10.0,5.5,10.0
EINE STIMME,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,2,4,2,28,1.0,1.0,1.0,1.0,1.0,1.0,10.0,13.0,3.625,0.6157802106735347,12.0,12.0,1.0,12.0,6.5,12.0
SEHER,0.0,13,1.0,1.0,13,0.2672612419124244,1.0,1.0,1,12,870,19,5360,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,0.24090602791485788,4.0,5.0,1.0,4.0,2.5,4.0
