name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
STRICK,0.0,9,1.0,1.0,29,0.32989774227142393,1.0,1.0,4,20,493,14,2855,1.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,2.75,0.24775780224127872,5.0,4.0,5.0,3.0,4.0,5.0
REITZER,0.0,9,1.0,1.0,24,0.2728625132458792,1.0,1.0,3,4,39,4,217,1.0,1.0,1.0,8.0,8.0,8.0,9.0,9.0,5.625,0.4815224182587082,8.0,8.0,8.0,9.0,8.5,8.0
HANNIBAL,0.0,9,1.0,1.0,33,0.37356490145333376,1.0,1.0,5,22,308,18,1894,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.375,0.09300297614285562,1.0,1.0,1.0,1.0,1.0,1.0
META,0.0,9,1.0,1.0,33,0.37356490145333376,1.0,1.0,5,18,181,14,1036,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.125,0.2625212576426635,4.0,5.0,1.0,5.0,3.0,4.0
KATHARINA,0.0,9,1.0,1.0,33,0.37356490145333376,1.0,1.0,5,23,219,20,1250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.5,0.1767766952966369,2.0,3.0,1.0,2.0,1.5,2.0
OBERKELLNER,0.0,9,1.0,1.0,9,0.10142225053682127,1.0,1.0,1,1,20,0,122,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,6.625,0.5822428156951114,10.0,10.0,10.0,10.0,10.0,10.0
MAX,0.0,9,1.0,1.0,33,0.37356490145333376,1.0,1.0,5,19,239,16,1395,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.75,0.1735912687073534,3.0,2.0,1.0,3.0,2.0,3.0
THEOPHIL,0.0,9,1.0,1.0,28,0.3195830143272723,1.0,1.0,4,16,358,13,2223,1.0,1.0,1.0,7.0,7.0,5.0,6.0,2.0,3.75,0.3455714728636362,6.0,7.0,7.0,6.0,6.5,6.0
FINKENSTEIN,0.0,9,1.0,1.0,17,0.19302406536948086,1.0,1.0,2,5,83,3,461,1.0,1.0,1.0,9.0,9.0,9.0,8.0,8.0,5.75,0.4943881499966831,9.0,9.0,9.0,8.0,8.5,8.0
SCHLAMMBERGER,0.0,9,1.0,1.0,29,0.3298977422714239,1.0,1.0,4,12,112,12,633,1.0,1.0,1.0,5.0,6.0,5.0,7.0,7.0,4.125,0.33698704404938606,7.0,6.0,6.0,7.0,6.5,6.0
