,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,10,10,4,4,4,2,2,8.998999999999999,0.9999,-0.0001,31.8,0.36,4.8,4.300000000000001,43.4135
9,0,0,0,2,3,3,2,2,8.992,0.9991,-0.0009,29.4,0.3325,4.0,19.700000000000003,90.94999999999999
8,0,0,0,1,1,1,2,2,8.994,0.9993,-0.0007,10.188,0.115,1.198,21.9,232.85
7,0,0,0,1,1,1,1,1,8.9955,0.9995,-0.0005,17.4,0.1965,2.0,2.089,185.55
6,0,0,0,1,1,1,1,1,8.997,0.9997,-0.00030000000000000003,24.6,0.27849999999999997,2.8,10.9,327.45000000000005
5,0,0,0,1,0,0,1,1,9.001000000000001,1.0001,0.0001,27.0,0.14250000000000002,1.6,15.299999999999999,374.75
4,0,0,0,0,0,0,1,1,9.003,1.0003,0.00030000000000000003,12.600000000000001,0.16949999999999998,2.4000000000000004,17.5,469.35
3,0,0,0,0,0,0,0,0,9.0045,1.0005,0.0005,15.0,0.22349999999999998,3.2,6.5,138.25
2,0,0,0,0,0,0,0,0,9.006,1.0007,0.0007,19.8,0.251,3.5999999999999996,8.7,280.15
1,0,0,0,0,0,0,0,0,9.008,1.0009,0.0009,22.2,0.3055,4.4,13.1,422.04999999999995
