name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
WILLIAMS,0.0,7,0.7333333333333333,0.7333333333333333,7,0.2853855594495864,1.3636363636363638,1.3636363636363638,1,2,22,2,120,3.0,3.0,6.0,4.0,4.0,7.0,10.0,10.0,5.875,0.3625153937618177,7.0,10.0,4.0,10.0,7.0,8.0
LORD HOT,0.05454545454545454,8,0.7857142857142857,0.7857142857142857,11,0.4366152469297122,1.2727272727272727,1.2727272727272727,3,31,658,21,3704,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
LORD HAMILTON,0.0,7,0.7333333333333333,0.7333333333333333,9,0.3801347273030981,1.3636363636363638,1.3636363636363638,2,19,422,12,2318,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.375,0.13258252147247765,3.0,3.0,3.0,3.0,3.0,3.0
MAJOR,0.00606060606060606,4,0.6111111111111112,0.6111111111111112,5,0.10352030073592157,1.6363636363636362,1.6363636363636362,2,8,126,6,704,9.0,9.0,4.0,9.0,10.0,3.0,5.0,7.0,7.0,0.33407655239053047,9.0,9.0,9.0,4.0,6.5,5.0
WUNDARZT,0.0,7,0.7333333333333333,0.7333333333333333,7,0.2853855594495864,1.3636363636363638,1.3636363636363638,1,2,15,1,91,3.0,3.0,6.0,4.0,4.0,7.0,10.0,11.0,6.0,0.3895968612369898,8.0,12.0,4.0,11.0,7.5,9.0
ROBERT,0.4242424242424242,11,1.0,1.0,14,0.46152044108358276,1.0,1.0,5,65,3329,46,18075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PETER,0.0,7,0.7333333333333333,0.7333333333333333,7,0.28538555944958627,1.3636363636363638,1.3636363636363638,1,4,81,2,430,3.0,3.0,6.0,4.0,6.0,7.0,8.0,9.0,5.75,0.2814979066149008,6.0,6.0,6.0,9.0,7.5,9.0
PRINZESSIN,0.01818181818181818,4,0.6111111111111112,0.6111111111111112,4,0.13034180399910986,1.6363636363636362,1.6363636363636362,2,6,230,2,1252,9.0,9.0,3.0,11.0,9.0,3.0,6.0,6.0,7.0,0.37201190457142247,9.0,11.0,9.0,4.0,6.5,5.0
ARMIDA,0.00606060606060606,4,0.6111111111111112,0.6111111111111112,5,0.10352030073592157,1.6363636363636362,1.6363636363636362,2,4,95,2,573,9.0,9.0,4.0,9.0,10.0,3.0,8.0,8.0,7.5,0.32043497223082784,11.0,8.0,9.0,8.0,8.5,11.0
TOGNINA,0.0,7,0.7333333333333333,0.7333333333333333,7,0.28538555944958627,1.3636363636363638,1.3636363636363638,1,11,416,5,2229,3.0,3.0,6.0,4.0,6.0,7.0,4.0,4.0,4.625,0.18824257716346443,4.0,4.0,6.0,4.0,5.0,4.0
BEICHTVATER,0.0,7,0.7333333333333333,0.7333333333333333,7,0.28538555944958627,1.3636363636363638,1.3636363636363638,1,6,321,2,1775,3.0,3.0,6.0,4.0,6.0,7.0,6.0,5.0,5.0,0.1889822365046136,5.0,5.0,6.0,7.0,6.5,5.0
RUNDE,0.0,3,0.5789473684210527,0.5789473684210527,3,0.07884870828555442,1.7272727272727273,1.7272727272727273,1,1,1,1,6,12.0,12.0,6.0,12.0,12.0,7.0,12.0,12.0,10.625,0.3199993024545969,12.0,7.0,12.0,12.0,12.0,12.0
