STIMME VON DRAUSSEN;PROFESSOR REMIGIUS WOHLGEMUT;1
STIMME VON DRAUSSEN;HUBERT;1
STIMME VON DRAUSSEN;DOKTOR FALLMER;1
STIMME VON DRAUSSEN;ROSL;1
STIMME VON DRAUSSEN;MUTTER;1
DIENSTMÄDCHEN;POGATSCHNIGG;1
DIENSTMÄDCHEN;HUBERT;1
DIENSTMÄDCHEN;RABANSER;1
DIENSTMÄDCHEN;MAGENTROST;1
DIENSTMÄDCHEN;TAUBE;1
POGATSCHNIGG;TAUBE;1
POGATSCHNIGG;HUBERT;1
POGATSCHNIGG;MAGENTROST;1
POGATSCHNIGG;RABANSER;1
MUTTER;HUBERT;3
MUTTER;PROFESSOR REMIGIUS WOHLGEMUT;3
MUTTER;ROSL;3
MUTTER;DOKTOR FALLMER;3
MUTTER;BABÚSCH;1
MUTTER;RABANSER;1
DOKTOR FALLMER;PATER CONFESSOR;1
DOKTOR FALLMER;VOX PATRIS E TENEBRIS INFIMIS;1
DOKTOR FALLMER;CHORUS ADOLESCENTIUM;1
DOKTOR FALLMER;HUBERT;3
DOKTOR FALLMER;VOCES APOKALYPTICAE DE COELIS CANTANTES;1
DOKTOR FALLMER;RABANSER CHORAGETES;1
DOKTOR FALLMER;PROFESSOR REMIGIUS WOHLGEMUT;4
DOKTOR FALLMER;CHORUS PUERORUM;1
DOKTOR FALLMER;BABÚSCH;1
DOKTOR FALLMER;ROSL;3
DOKTOR FALLMER;RABANSER;2
ROSL;HUBERT;3
ROSL;PROFESSOR REMIGIUS WOHLGEMUT;3
ROSL;BABÚSCH;1
ROSL;RABANSER;1
BABÚSCH;PROFESSOR REMIGIUS WOHLGEMUT;1
BABÚSCH;HUBERT;1
TAUBE;HUBERT;1
TAUBE;MAGENTROST;1
TAUBE;RABANSER;1
CHORUS ADOLESCENTIUM;VOCES APOKALYPTICAE DE COELIS CANTANTES;1
CHORUS ADOLESCENTIUM;RABANSER CHORAGETES;1
CHORUS ADOLESCENTIUM;PATER CONFESSOR;1
CHORUS ADOLESCENTIUM;PROFESSOR REMIGIUS WOHLGEMUT;1
CHORUS ADOLESCENTIUM;CHORUS PUERORUM;1
CHORUS ADOLESCENTIUM;VOX PATRIS E TENEBRIS INFIMIS;1
CHORUS ADOLESCENTIUM;RABANSER;1
HUBERT;PROFESSOR REMIGIUS WOHLGEMUT;3
HUBERT;MAGENTROST;1
HUBERT;RABANSER;2
PROFESSOR REMIGIUS WOHLGEMUT;VOX PATRIS E TENEBRIS INFIMIS;1
PROFESSOR REMIGIUS WOHLGEMUT;PATER CONFESSOR;1
PROFESSOR REMIGIUS WOHLGEMUT;VOCES APOKALYPTICAE DE COELIS CANTANTES;1
PROFESSOR REMIGIUS WOHLGEMUT;RABANSER CHORAGETES;1
PROFESSOR REMIGIUS WOHLGEMUT;CHORUS PUERORUM;1
PROFESSOR REMIGIUS WOHLGEMUT;RABANSER;2
VOX PATRIS E TENEBRIS INFIMIS;RABANSER CHORAGETES;1
VOX PATRIS E TENEBRIS INFIMIS;PATER CONFESSOR;1
VOX PATRIS E TENEBRIS INFIMIS;CHORUS PUERORUM;1
VOX PATRIS E TENEBRIS INFIMIS;VOCES APOKALYPTICAE DE COELIS CANTANTES;1
VOX PATRIS E TENEBRIS INFIMIS;RABANSER;1
PATER CONFESSOR;VOCES APOKALYPTICAE DE COELIS CANTANTES;1
PATER CONFESSOR;RABANSER CHORAGETES;1
PATER CONFESSOR;CHORUS PUERORUM;1
PATER CONFESSOR;RABANSER;1
VOCES APOKALYPTICAE DE COELIS CANTANTES;RABANSER CHORAGETES;1
VOCES APOKALYPTICAE DE COELIS CANTANTES;CHORUS PUERORUM;1
VOCES APOKALYPTICAE DE COELIS CANTANTES;RABANSER;1
CHORUS PUERORUM;RABANSER CHORAGETES;1
CHORUS PUERORUM;RABANSER;1
RABANSER;MAGENTROST;1
RABANSER;RABANSER CHORAGETES;1
