name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
GENDARM,0.032380952380952385,14,0.9375,0.9375,31,0.36816629748052765,1.0666666666666667,1.0666666666666667,4,120,1347,68,7390,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.625,0.13258252147247765,4.0,4.0,2.0,4.0,3.0,4.0
LEHMANN,0.0,11,0.7894736842105263,0.7894736842105263,18,0.22410427999975252,1.2666666666666666,1.2666666666666666,2,28,260,24,1352,9.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,8.625,0.09300297614285562,9.0,2.0,9.0,9.0,9.0,8.0
HEINRICH,0.032380952380952385,14,0.9375,0.9375,31,0.36816629748052765,1.0666666666666667,1.0666666666666667,4,40,496,34,2603,2.0,2.0,3.0,2.0,2.0,2.0,7.0,8.0,3.5,0.31339158526400435,5.0,14.0,2.0,6.0,4.0,5.0
KAUFLEUTE,0.0,11,0.7894736842105263,0.7894736842105263,11,0.12845325620369577,1.2666666666666666,1.2666666666666666,1,2,8,2,56,9.0,9.0,9.0,10.0,10.0,10.0,15.0,16.0,11.0,0.3535533905932738,12.0,15.0,10.0,16.0,13.0,13.0
AGNES,0.0,7,0.6521739130434783,0.6521739130434783,7,0.08967011246756947,1.5333333333333332,1.5333333333333332,1,4,256,2,1350,13.0,13.0,9.0,13.0,13.0,10.0,13.0,11.0,11.875,0.2052600702245116,13.0,7.0,13.0,12.0,12.5,12.0
ANNA,0.032380952380952385,14,0.9375,0.9375,31,0.36816629748052765,1.0666666666666667,1.0666666666666667,4,124,1643,98,8500,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.375,0.09300297614285562,3.0,2.0,2.0,3.0,2.5,3.0
INNOCENTIA,0.04761904761904762,12,0.8333333333333334,0.8333333333333334,20,0.23963536515668568,1.2,1.2,3,94,1895,62,10385,7.0,7.0,2.0,7.0,7.0,6.0,4.0,3.0,5.375,0.2582349082853495,6.0,10.0,6.0,5.0,5.5,6.0
STIMMEN,0.0,7,0.6521739130434783,0.6521739130434783,7,0.08967011246756947,1.5333333333333332,1.5333333333333332,1,2,16,2,83,13.0,13.0,9.0,13.0,13.0,10.0,15.0,15.0,12.625,0.2667387365408867,14.0,11.0,13.0,15.0,14.0,15.0
JAKOB,0.032380952380952385,14,0.9375,0.9375,31,0.36816629748052765,1.0666666666666667,1.0666666666666667,4,126,2069,97,11361,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0668153104781061,2.0,1.0,2.0,1.0,1.5,1.0
WABN,0.0,2,0.5357142857142857,0.5357142857142857,2,0.025748634897421685,1.8666666666666667,1.8666666666666667,1,15,414,11,2245,16.0,16.0,9.0,16.0,16.0,10.0,10.0,9.0,12.75,0.4368617793830381,15.0,16.0,16.0,10.0,13.0,13.0
BRAUMEISTER,0.01904761904761905,13,0.8823529411764706,0.8823529411764706,18,0.20972546869147335,1.1333333333333333,1.1333333333333333,2,8,150,4,810,6.0,6.0,7.0,8.0,9.0,8.0,11.0,12.0,8.375,0.2749797070434731,8.0,12.0,8.0,11.0,9.5,9.0
WIRT,0.0,11,0.7894736842105263,0.7894736842105263,11,0.12845325620369574,1.2666666666666666,1.2666666666666666,1,52,1132,30,5786,9.0,9.0,9.0,10.0,12.0,10.0,6.0,6.0,8.875,0.2538762001448738,10.0,9.0,12.0,7.0,9.5,9.0
APOTHEKER,0.10857142857142857,15,1.0,1.0,33,0.377653794554976,1.0,1.0,5,88,3700,43,19815,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.5,0.1767766952966369,1.0,6.0,1.0,2.0,1.5,1.0
KOMMANDANT,0.009523809523809523,12,0.8333333333333334,0.8333333333333334,24,0.2987941000087322,1.2,1.2,3,27,563,11,2886,7.0,7.0,8.0,6.0,6.0,6.0,9.0,7.0,7.0,0.1336306209562122,7.0,5.0,7.0,7.0,7.0,7.0
ZIRNGIBL,0.0,11,0.7894736842105263,0.7894736842105263,11,0.12845325620369577,1.2666666666666666,1.2666666666666666,1,4,130,2,746,9.0,9.0,9.0,10.0,10.0,10.0,13.0,13.0,10.375,0.21062725200152588,11.0,8.0,10.0,13.0,11.5,11.0
KOMMANDANTIN,0.0,6,0.625,0.625,6,0.08964502587039226,1.6,1.6,1,6,35,4,167,15.0,15.0,9.0,15.0,15.0,10.0,12.0,14.0,13.125,0.30935921676911454,16.0,13.0,15.0,13.0,14.0,15.0
