,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,10,18,9,9,18,16,16,12.75,0.648,0.0027423,12.9,0.199,1.099,11.3455,246.819
9,4,4,4,5,5,4,2,2,3.7424999999999997,0.17049999999999998,0.05265,4.089,0.09065000000000001,2.9,32.349999999999994,705.3
8,4,4,1,4,4,1,1,2,6.75,0.511,0.008320000000000001,6.300000000000001,0.017919,1.9,53.25,1617.6999999999998
7,4,4,0,4,4,0,1,2,17.25,0.784,0.013850000000000001,23.9,0.344,1.2999999999999998,74.15,2986.3
6,1,1,0,1,1,0,1,1,5.25,0.44299999999999995,0.0194,17.299999999999997,0.271,1.5,95.05,4354.9
5,1,0,0,0,0,0,1,0,14.25,0.239,0.02495,8.5,0.05425000000000001,1.7000000000000002,136.85000000000002,1161.5
4,0,0,0,0,0,0,1,0,8.25,0.30700000000000005,0.030449999999999998,10.7,0.127,2.1,199.55,2073.9
3,0,0,0,0,0,0,0,0,9.75,0.375,0.036000000000000004,15.1,0.16299999999999998,2.3,115.95,2530.1
2,0,0,0,0,0,0,0,0,11.25,0.5795,0.041550000000000004,19.5,0.235,2.5,157.75,3442.5
1,0,0,0,0,0,0,0,0,15.75,0.716,0.0471,21.700000000000003,0.3075,2.7,178.64999999999998,3898.7
