,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,6,8,5,4,7,7,8,11.5,0.854,0.0023661000000000003,16.2,0.20400000000000001,1.693,8.6625,238.54049999999998
9,5,5,3,2,2,4,2,2,12.5,0.9375,0.0167,6.584,0.16599999999999998,4.5,113.75,3132.3500000000004
8,2,2,2,2,2,1,2,1,4.495,0.604,0.0263,13.0,0.2425,3.0999999999999996,166.25,722.8499999999999
7,2,2,2,2,2,1,1,1,13.5,0.979,0.045399999999999996,19.4,0.319,5.9,26.25,1204.75
6,0,0,0,2,1,1,1,1,5.5,0.646,0.007170000000000001,22.6,0.0895,8.7,43.75,2168.55
5,0,0,0,1,1,1,1,1,6.5,0.6875,0.01193,29.0,0.128,14.3,61.25,2650.45
4,0,0,0,1,1,0,1,1,7.5,0.729,0.0215,35.4,0.281,7.3,78.75,4578.05
3,0,0,0,0,1,0,0,0,8.5,0.771,0.031100000000000003,9.8,0.39549999999999996,10.100000000000001,96.25,1686.65
2,0,0,0,0,1,0,0,0,9.5,0.8125,0.03585,25.799999999999997,0.434,11.5,131.25,3614.25
1,0,0,0,0,0,0,0,0,10.5,0.896,0.0406,32.2,0.357,12.899999999999999,148.75,4096.15
