name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ERSTER DIENER,0.01465909090909091,7,0.5681818181818182,0.5681818181818182,9,0.013727768775906425,1.7599999999999998,1.7599999999999998,3,12,164,25,874,20.0,20.0,9.0,22.0,23.0,15.0,17.0,16.0,17.75,0.5659615711335886,18.0,21.0,19.0,16.0,17.5,18.0
MATFRIED,0.05123563011063011,19,0.8064516129032258,0.8064516129032258,56,0.300021087255457,1.24,1.24,12,60,748,126,3920,3.0,3.0,4.0,4.0,4.0,5.0,7.0,9.0,4.875,0.2625212576426635,4.0,8.0,3.0,7.0,5.0,4.0
ZWEITER DIENER,0.0,6,0.5555555555555556,0.5555555555555556,8,0.013501645102056986,1.7999999999999998,1.7999999999999998,2,5,23,5,121,22.0,22.0,21.0,23.0,24.0,19.0,19.0,23.0,21.625,0.2308514906044267,24.0,5.0,23.0,21.0,22.0,23.0
KARL,0.029780784030784033,17,0.7575757575757576,0.7575757575757576,50,0.25965531477558085,1.32,1.32,13,130,2238,329,11288,10.0,10.0,7.0,8.0,7.0,4.0,4.0,3.0,6.625,0.34028283928856257,6.0,15.0,10.0,4.0,7.0,6.0
AGOBARD,0.0008888888888888889,13,0.6756756756756757,0.6756756756756757,17,0.08716487663134707,1.48,1.48,2,4,52,8,264,15.0,15.0,20.0,18.0,17.0,19.0,22.0,21.0,18.375,0.3269003506968359,20.0,11.0,17.0,22.0,19.5,19.0
RUDTHARDT,0.01268819143819144,18,0.78125,0.78125,53,0.2540240094488081,1.28,1.28,9,47,466,79,2454,7.0,7.0,11.0,6.0,8.0,8.0,11.0,11.0,8.625,0.2582349082853495,9.0,7.0,8.0,10.0,9.0,9.0
LUDWIG,0.021660413660413658,18,0.78125,0.78125,76,0.4006305959199975,1.28,1.28,18,138,1694,269,8765,7.0,7.0,8.0,1.0,1.0,1.0,3.0,5.0,4.125,0.374627791471558,3.0,16.0,4.0,3.0,3.5,3.0
DIE DEUTSCHEN,0.06337247474747475,19,0.8064516129032258,0.8064516129032258,25,0.10588810418326072,1.24,1.24,3,3,15,3,79,3.0,3.0,3.0,15.0,16.0,15.0,24.0,24.0,12.875,1.1169103989513725,12.0,26.0,9.0,23.0,16.0,17.0
KAISER LUDWIG,0.0011616161616161617,14,0.6944444444444444,0.6944444444444444,26,0.13441539104265945,1.44,1.44,3,19,254,42,1253,13.0,13.0,18.0,14.0,14.0,15.0,15.0,14.0,14.5,0.2004459314343183,14.0,3.0,15.0,14.0,14.5,12.0
CHORKNABEN,0.0,12,0.6578947368421053,0.6578947368421053,12,0.059818653216227466,1.5199999999999998,1.5199999999999998,1,4,54,10,284,18.0,18.0,21.0,20.0,18.0,25.0,22.0,20.0,20.25,0.30435822409034485,21.0,10.0,20.0,24.0,22.0,23.0
ABDALLAH,0.014106060606060608,13,0.6756756756756757,0.6756756756756757,41,0.189779912313148,1.48,1.48,12,78,983,164,5220,15.0,15.0,10.0,10.0,10.0,5.0,6.0,8.0,9.875,0.46018969303041607,11.0,18.0,12.0,6.0,9.0,9.0
HAMATELLIWA,0.0,5,0.5319148936170213,0.5319148936170213,14,0.05323635720224724,1.8800000000000001,1.8800000000000001,5,51,1004,146,5287,24.0,24.0,21.0,19.0,20.0,13.0,9.0,7.0,17.125,0.8276405254008012,17.0,25.0,22.0,9.0,15.5,14.0
