name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ANDERE,0.0,1,0.030303030303030304,1.0,1,3.955843498417398e-21,33.0,1.0,1,4,10,4,70,33.0,33.0,17.0,33.0,33.0,20.0,18.0,26.0,26.625,0.9135329280952524,33.0,33.0,33.0,22.0,27.5,29.0
TÖRRING,0.015660528444619355,15,0.6066919191919192,0.6458333333333334,37,0.3260434760696242,1.6482830385015608,1.5483870967741935,12,53,1390,29,7561,8.0,9.0,10.0,5.0,5.0,6.0,7.0,6.0,7.0,0.23145502494313785,7.0,4.0,6.0,7.0,6.5,6.0
AGNES,0.10197643874378323,19,0.6618457300275483,0.7045454545454546,57,0.4268017088266437,1.5109261186264304,1.4193548387096773,27,177,3929,123,20611,3.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.375,0.13258252147247765,2.0,2.0,2.0,2.0,2.0,2.0
THEOBALD,0.03637323767407499,14,0.5943104514533086,0.6326530612244898,29,0.2454695053073035,1.6826222684703434,1.5806451612903225,14,63,1341,43,6937,10.0,10.0,6.0,8.0,7.0,4.0,6.0,7.0,7.25,0.25660906898571273,8.0,7.0,8.0,6.0,7.0,7.0
BARBARA,0.0006628787878787878,11,0.5494568324757004,0.5849056603773585,12,0.10015018720695891,1.8199791883454735,1.7096774193548387,2,23,508,13,2622,11.0,11.0,14.0,14.0,14.0,15.0,11.0,10.0,12.5,0.24090602791485788,12.0,5.0,13.0,12.0,12.5,12.0
DER HEROLD,0.0,9,0.5392817059483727,0.5740740740740741,9,0.05191223116837495,1.8543184183142558,1.7419354838709677,1,6,272,4,1654,17.0,15.0,17.0,17.0,17.0,20.0,16.0,13.0,16.5,0.25,16.0,6.0,17.0,16.0,16.5,15.0
HANS VON LÄUBELFING,0.0,6,0.5108984582668794,0.543859649122807,6,0.022307637711947104,1.957336108220603,1.8387096774193548,1,1,19,0,112,21.0,21.0,17.0,21.0,25.0,20.0,25.0,22.0,21.5,0.32732683535398854,23.0,9.0,23.0,26.0,24.5,25.0
STACHUS,0.0,2,0.42825311942959005,0.45588235294117646,3,0.010988215711606818,2.335067637877211,2.193548387096774,3,11,261,2,1426,31.0,30.0,17.0,27.0,31.0,13.0,13.0,14.0,22.0,1.0585535953770664,24.0,34.0,31.0,14.0,22.5,22.0
DIE REISIGEN,0.0,6,0.5020898641588296,0.5344827586206896,6,0.03982585595946709,1.9916753381893864,1.870967741935484,1,1,3,1,12,21.0,23.0,17.0,21.0,21.0,20.0,25.0,28.0,22.0,0.4172614801981401,24.0,15.0,21.0,30.0,25.5,27.0
ALBRECHT,0.16839455732996406,24,0.766347687400319,0.8157894736842105,59,0.408458560339128,1.3048907388137356,1.2258064516129032,19,188,5435,102,29084,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.25,0.057863756235784464,1.0,1.0,1.0,1.0,1.0,1.0
FRAUENHOVEN,0.030274873651069817,18,0.6618457300275483,0.7045454545454546,43,0.33838169194171797,1.5109261186264304,1.4193548387096773,10,38,700,25,3862,5.0,4.0,7.0,4.0,4.0,9.0,8.0,8.0,6.125,0.2625212576426635,5.0,8.0,5.0,9.0,7.0,7.0
OTTO VON BERN,0.0,3,0.3882828282828283,0.41333333333333333,3,0.004729378062607162,2.575442247658689,2.4193548387096775,1,1,0,0,0,26.0,32.0,17.0,27.0,32.0,20.0,25.0,30.0,26.125,0.6795399573030482,32.0,28.0,30.0,32.0,31.0,34.0
KASTELLAN,0.0,3,0.4773969200198709,0.5081967213114754,4,0.04747495039476522,2.094693028095733,1.967741935483871,3,6,213,2,1244,26.0,25.0,17.0,26.0,19.0,13.0,16.0,15.0,19.625,0.6612268764522939,20.0,27.0,26.0,15.0,20.5,19.0
PAPPENHEIM,0.026292681600695953,15,0.6196002578981302,0.6595744680851063,22,0.13546713580408193,1.6139438085327784,1.5161290322580647,4,16,165,13,855,8.0,7.0,8.0,10.0,11.0,11.0,12.0,16.0,10.375,0.3594235215691133,10.0,12.0,9.0,13.0,11.0,10.0
