,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,9,22,6,12,10,15,18,5.199999999999999,0.41700000000000004,0.0269775,2.584,0.0199735,1.5445,4.6135,73.6565
9,4,6,2,3,3,7,4,2,4.0,0.345,0.5175000000000001,5.800000000000001,0.34199999999999997,2.6500000000000004,11.95,213.04999999999998
8,4,3,1,3,2,2,3,2,10.0,0.393,0.4085,9.0,0.060450000000000004,3.75,33.85,351.75
7,3,3,0,3,2,2,2,1,8.8,0.4405,0.08175,18.6,0.302,4.85,26.549999999999997,490.45
6,2,2,0,3,2,2,1,1,1.594,0.5595,0.136,25.0,0.3825,5.95,70.35,1183.9499999999998
5,2,1,0,2,1,1,0,1,6.4,0.369,0.1905,12.2,0.1008,8.149999999999999,19.25,1322.65
4,2,1,0,2,1,1,0,0,11.2,0.488,0.245,21.799999999999997,0.14100000000000001,11.45,41.15,629.15
3,2,0,0,1,1,0,0,0,12.4,0.46399999999999997,0.2995,15.4,0.2215,7.05,48.45,767.85
2,0,0,0,1,1,0,0,0,2.8,0.512,0.354,28.200000000000003,0.262,9.25,55.75,906.55
1,0,0,0,1,0,0,0,0,7.6,0.536,0.46299999999999997,31.4,0.181,10.350000000000001,63.05,1045.25
