name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
WALTER,0.0,5,0.6923076923076923,0.6923076923076923,5,0.1341400105797488,1.4444444444444444,1.4444444444444444,1,2,8,2,50,10.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.625,0.06469364618834571,10.0,2.0,10.0,10.0,10.0,10.0
HAUPTMANN,0.03518518518518518,9,1.0,1.0,16,0.3636460847361939,1.0,1.0,3,52,1098,213,5921,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,2.875,0.2052600702245116,3.0,8.0,3.0,5.0,4.0,4.0
DIE AHNFRAU,0.009259259259259259,8,0.9,0.9,10,0.2414224469475326,1.1111111111111112,1.1111111111111112,2,14,95,22,530,4.0,4.0,6.0,8.0,8.0,7.0,7.0,8.0,6.5,0.21128856368212914,8.0,10.0,8.0,8.0,8.0,8.0
GÜNTHER,0.03518518518518518,9,1.0,1.0,20,0.4419420886362778,1.0,1.0,4,45,1292,244,6826,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.875,0.2052600702245116,2.0,8.0,1.0,4.0,2.5,2.0
EIN SOLDAT,0.009259259259259259,8,0.9,0.9,13,0.30723943933906384,1.1111111111111112,1.1111111111111112,3,9,525,92,2695,4.0,4.0,6.0,6.0,6.0,4.0,8.0,7.0,5.625,0.18824257716346443,6.0,7.0,6.0,6.0,6.0,6.0
CHOR,0.0,6,0.75,0.75,6,0.1397994206710322,1.3333333333333333,1.3333333333333333,1,2,67,18,340,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,1.0,9.0,9.0,9.0,9.0
JAROMIR,0.03518518518518518,9,1.0,1.0,17,0.3860441104827346,1.0,1.0,4,117,7010,1292,37184,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.375,0.06469364618834571,1.0,2.0,2.0,1.0,1.5,1.0
BERTHA,0.016666666666666666,8,0.9,0.9,16,0.38388365996707335,1.1111111111111112,1.1111111111111112,4,143,3477,653,18239,4.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.875,0.15580293184477811,3.0,5.0,4.0,2.0,3.0,3.0
DER GRAF,0.016666666666666666,8,0.9,0.9,14,0.34382918938712564,1.1111111111111112,1.1111111111111112,3,102,4304,786,22697,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,3.875,0.12387890112063936,5.0,4.0,5.0,3.0,4.0,4.0
BOLESLAV,0.009259259259259259,8,0.9,0.9,11,0.260029215303404,1.1111111111111112,1.1111111111111112,2,25,661,123,3514,4.0,4.0,6.0,7.0,7.0,7.0,6.0,6.0,5.875,0.15580293184477811,7.0,5.0,7.0,6.0,6.5,7.0
