,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,5,3,3,2,3,4,5,8.0,0.8925000000000001,0.00882,16.25,0.14950000000000002,2.95,8.979500000000002,354.59900000000005
9,3,3,3,2,2,3,2,2,8.8,0.9844999999999999,0.03345,5.7425,0.39549999999999996,3.85,51.349999999999994,1058.3000000000002
8,1,1,2,2,1,2,1,1,5.198,0.7075,0.0017424,10.25,0.2415,1.1485,23.15,3158.9
7,1,1,2,2,1,2,1,1,6.0,0.7384999999999999,0.01585,13.25,0.27249999999999996,2.05,107.75,4559.299999999999
6,0,0,0,1,1,0,1,1,5.6,0.7695000000000001,0.00528,19.25,0.3035,1.4500000000000002,121.85,6659.9
5,0,0,0,0,1,0,1,0,6.4,0.8,0.01235,7.25,0.3345,1.75,135.95,1758.5
4,0,0,0,0,1,0,0,0,6.8,0.8305,0.01935,8.75,0.365,2.35,37.25,2458.7
3,0,0,0,0,1,0,0,0,7.2,0.8614999999999999,0.022850000000000002,11.75,0.4265,2.65,65.45,3859.1
2,0,0,0,0,0,0,0,0,7.6,0.923,0.02635,14.75,0.1805,3.25,79.55,5259.5
1,0,0,0,0,0,0,0,0,8.399999999999999,0.9535,0.0299,17.75,0.21100000000000002,3.55,93.65,5959.700000000001
