name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
MEHRERE,0.0,9,0.7368421052631579,0.7368421052631579,9,0.27791178701366254,1.3571428571428572,1.3571428571428572,1,1,7,1,31,3.0,3.0,6.0,3.0,7.0,6.0,14.0,14.0,7.0,0.57476703355111,11.0,14.0,7.0,14.0,10.5,13.0
WILLIE,0.0,9,0.7368421052631579,0.7368421052631579,9,0.2779117870136626,1.3571428571428572,1.3571428571428572,1,14,334,14,1668,3.0,3.0,6.0,3.0,3.0,6.0,7.0,7.0,4.75,0.23857837885513192,4.0,4.0,3.0,7.0,5.0,4.0
TADDIE,0.0,9,0.7368421052631579,0.7368421052631579,9,0.27791178701366254,1.3571428571428572,1.3571428571428572,1,4,28,4,134,3.0,3.0,6.0,3.0,7.0,6.0,10.0,12.0,6.25,0.42125450400305176,10.0,8.0,7.0,11.0,9.0,12.0
EIN DIENER,0.0,5,0.6086956521739131,0.6086956521739131,5,0.11032829403192726,1.6428571428571428,1.6428571428571428,1,2,14,2,76,14.0,14.0,6.0,14.0,14.0,6.0,12.0,13.0,11.625,0.44288774375842527,14.0,9.0,14.0,13.0,13.5,14.0
DICK,0.0,9,0.7368421052631579,0.7368421052631579,9,0.27791178701366254,1.3571428571428572,1.3571428571428572,1,4,278,32,1340,3.0,3.0,6.0,3.0,7.0,6.0,10.0,8.0,5.75,0.3256175451573298,7.0,6.0,7.0,9.0,8.0,10.0
DOUGLAS,0.005494505494505495,6,0.6363636363636364,0.6363636363636364,9,0.21117228099623556,1.5714285714285714,1.5714285714285714,3,27,1380,190,7528,11.0,11.0,3.0,3.0,11.0,1.0,5.0,3.0,6.0,0.5345224838248488,9.0,12.0,11.0,3.0,7.0,6.0
VIELE STIMMEN,0.0,5,0.6086956521739131,0.6086956521739131,5,0.11032829403192726,1.6428571428571428,1.6428571428571428,1,1,1,1,11,14.0,14.0,6.0,14.0,14.0,6.0,14.0,15.0,12.125,0.4745180825999002,15.0,11.0,14.0,15.0,14.5,15.0
ROBIN,0.0,9,0.7368421052631579,0.7368421052631579,9,0.27791178701366254,1.3571428571428572,1.3571428571428572,1,8,54,8,278,3.0,3.0,6.0,3.0,7.0,6.0,8.0,9.0,5.625,0.2983399008322075,6.0,5.0,7.0,8.0,7.5,8.0
MARIA,0.005494505494505495,6,0.6363636363636364,0.6363636363636364,8,0.17884820887868855,1.5714285714285714,1.5714285714285714,2,50,795,113,4117,11.0,11.0,3.0,12.0,12.0,3.0,2.0,5.0,7.375,0.56274796121989,13.0,13.0,12.0,4.0,8.0,10.0
MARGARETE,0.005494505494505495,6,0.6363636363636364,0.6363636363636364,8,0.17884820887868855,1.5714285714285714,1.5714285714285714,2,43,1639,221,8409,11.0,11.0,3.0,12.0,12.0,3.0,3.0,2.0,7.125,0.5879652413195868,12.0,15.0,12.0,2.0,7.0,6.0
TOM,0.0,9,0.7368421052631579,0.7368421052631579,9,0.2779117870136626,1.3571428571428572,1.3571428571428572,1,26,970,124,5140,3.0,3.0,6.0,3.0,3.0,6.0,6.0,4.0,4.25,0.18600595228571123,3.0,3.0,3.0,6.0,4.5,3.0
BILL,0.0,9,0.7368421052631579,0.7368421052631579,9,0.2779117870136626,1.3571428571428572,1.3571428571428572,1,2,36,4,170,3.0,3.0,6.0,3.0,3.0,6.0,12.0,11.0,5.875,0.4650148807142781,8.0,10.0,3.0,12.0,7.5,8.0
JOHN,0.0,9,0.7368421052631579,0.7368421052631579,9,0.2779117870136626,1.3571428571428572,1.3571428571428572,1,6,42,6,232,3.0,3.0,6.0,3.0,3.0,6.0,9.0,10.0,5.375,0.3594235215691133,5.0,7.0,3.0,10.0,6.5,5.0
RATCLIFF,0.3131868131868132,14,1.0,1.0,15,0.3728910387906904,1.0,1.0,3,59,2870,409,15685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
LESLEY,0.13186813186813187,12,0.875,0.875,12,0.33190483797800696,1.1428571428571428,1.1428571428571428,2,34,617,86,3402,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,2.875,0.18221724671391565,2.0,2.0,2.0,5.0,3.5,2.0
