name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
STIMME,0.021829268292682925,12,0.5857142857142857,0.5857142857142857,14,0.1362726562931345,1.7073170731707317,1.7073170731707317,3,11,136,9,841,3.0,3.0,3.0,11.0,7.0,8.0,15.0,12.0,7.75,0.5776723614150647,5.0,8.0,3.0,11.0,7.0,4.0
ERSTER HÖFLING,0.0010162601626016261,11,0.5694444444444444,0.5694444444444444,16,0.11283249635818968,1.7560975609756098,1.7560975609756098,2,6,38,6,228,4.0,4.0,8.0,6.0,10.0,9.0,19.0,27.0,10.875,1.0098565580601746,11.0,29.0,4.0,20.0,12.0,11.0
DRITTER HÖFLING,0.0010162601626016261,11,0.5694444444444444,0.5694444444444444,16,0.11283249635818966,1.7560975609756098,1.7560975609756098,2,6,78,4,386,4.0,4.0,8.0,6.0,11.0,9.0,19.0,19.0,10.0,0.7559289460184544,9.0,14.0,5.0,16.0,10.5,9.0
EREMIT,0.0,1,0.5,0.5,1,0.02433986251351173,2.0,2.0,1,12,91,11,487,34.0,33.0,15.0,34.0,34.0,20.0,14.0,15.0,24.875,1.2071910651827833,33.0,34.0,34.0,17.0,25.5,24.0
VIERTER GEIST,0.0,6,0.5324675324675324,0.5324675324675324,6,0.03504923079364091,1.878048780487805,1.878048780487805,1,2,26,2,140,18.0,19.0,15.0,24.0,27.0,20.0,34.0,33.0,23.75,0.8807210925469782,30.0,19.0,21.0,34.0,27.5,33.0
KÄMMERER,0.0,10,0.5616438356164384,0.5616438356164384,10,0.05466296885225831,1.7804878048780488,1.7804878048780488,1,1,25,0,143,9.0,9.0,15.0,13.0,16.0,20.0,37.0,34.0,19.125,1.3453582568541786,18.0,38.0,12.0,38.0,25.0,22.0
OBRISTER,0.0,10,0.5616438356164384,0.5616438356164384,10,0.05466296885225831,1.7804878048780488,1.7804878048780488,1,1,4,1,25,9.0,9.0,15.0,13.0,16.0,20.0,37.0,39.0,19.75,1.4801514159996316,20.0,40.0,12.0,40.0,26.0,26.0
DOKTOR FAUST,0.7965040650406505,40,0.9761904761904762,0.9761904761904762,84,0.6283631461158725,1.024390243902439,1.024390243902439,53,543,10640,383,60696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ITHURIEL,0.0006097560975609756,3,0.5125,0.5125,7,0.14145460504510013,1.9512195121951221,1.9512195121951221,8,62,1112,42,6576,28.0,28.0,13.0,20.0,6.0,3.0,6.0,5.0,13.625,1.3006480184343274,15.0,37.0,20.0,5.0,12.5,12.0
MÄDCHEN,0.0,1,0.5,0.5,1,0.02433986251351173,2.0,2.0,1,5,59,4,351,34.0,33.0,15.0,34.0,34.0,20.0,27.0,25.0,27.75,0.9155160527577564,37.0,21.0,34.0,29.0,31.5,37.0
