segment;change_rate
1;1.0
2;1.0
3;1.0
4;1.0
5;0.4
6;0.7777777777777778
7;0.7142857142857143
8;0.75
9;1.0
10;0.5
11;0.4
12;0.25
13;1.0
14;0.3333333333333333
15;0.75
16;1.0
17;0.8
18;0.75
19;0.5
20;0.8333333333333334
21;0.8333333333333334
22;1.0
23;0.3333333333333333
24;1.0
25;0.3333333333333333
26;0.6666666666666666
27;1.0
28;0.5
29;0.75
30;0.25
31;0.6666666666666666
32;1.0
33;1.0
34;0.5
35;0.6666666666666666
36;0.8333333333333334
37;0.8333333333333334
38;0.5
39;1.0
40;0.3333333333333333
41;0.5
42;0.25
43;1.0
44;1.0
45;0.25
46;0.2
47;0.625
48;0.3333333333333333
49;0.5
50;0.875
51;0.75
52;0.875
53;1.0
54;1.0
55;0.3333333333333333
56;0.3333333333333333
57;0.8
58;0.8
59;1.0
60;0.5
61;1.0
62;1.0
63;0.75
64;1.0
65;1.0
66;1.0
67;0.75
68;0.6666666666666666
69;0.8
70;0.5714285714285714
71;1.0
72;1.0
73;0.75
74;0.75
