segment;change_rate
1;0.5
2;0.5
3;0.5
4;0.5
5;0.5
6;0.5
7;0.5
8;0.6666666666666666
9;0.75
10;0.6666666666666666
11;0.75
12;0.0
13;0.75
14;1.0
15;0.6666666666666666
16;0.6666666666666666
17;0.6666666666666666
18;1.0
19;0.3333333333333333
20;0.4
21;0.5
22;0.8333333333333334
23;0.75
24;0.3333333333333333
25;0.75
26;0.5
27;0.875
28;0.4
29;0.75
30;0.3333333333333333
31;0.75
32;0.75
33;0.25
34;0.5
35;0.8
36;0.0
37;0.8
38;0.75
39;0.25
40;0.8
41;1.0
42;0.6666666666666666
43;0.6666666666666666
44;0.6666666666666666
45;1.0
46;0.5
47;0.8571428571428571
48;0.8
49;0.5
50;0.5
51;0.1111111111111111
