,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,11,19,7,13,12,10,16,7.2,0.46950000000000003,0.02277,10.45,0.019403999999999998,1.75,2.25,52.7175
9,7,7,7,6,5,6,8,4,5.6,0.40700000000000003,0.069,16.15,0.0588,1.2475,0.7425,159.75
8,5,2,1,4,5,4,3,4,8.8,0.2815,0.115,4.75,0.3725,3.75,3.75,372.75
7,3,2,1,4,2,4,2,2,0.792,0.34450000000000003,0.437,6.65,0.0982,4.75,5.25,479.25
6,1,2,0,3,1,1,2,1,2.4000000000000004,0.532,0.161,0.9405,0.1375,2.75,14.25,905.25
5,1,2,0,2,1,1,1,1,13.600000000000001,0.5945,0.20700000000000002,8.55,0.255,5.75,8.25,1011.75
4,1,1,0,2,1,0,1,0,15.2,0.030987,0.253,18.05,0.3335,2.25,9.75,266.25
3,0,1,0,0,0,0,1,0,4.0,0.219,0.29900000000000004,2.8499999999999996,0.1765,3.25,11.25,585.75
2,0,0,0,0,0,0,0,0,10.399999999999999,0.0938,0.345,12.350000000000001,0.2155,4.25,6.75,692.25
1,0,0,0,0,0,0,0,0,12.0,0.1565,0.391,14.25,0.2945,5.25,12.75,798.75
