name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
FRÄULEIN VON SONNSFELD,0.2049302549302549,12,0.6875,0.6875,18,0.11540131441156887,1.4545454545454546,1.4545454545454546,8,83,1568,55,9008,4.0,4.0,1.0,9.0,10.0,6.0,6.0,6.0,5.75,0.35825719013819424,7.0,17.0,7.0,6.0,6.5,7.0
EVERSMANN,0.06866281866281866,11,0.6666666666666666,0.6666666666666666,32,0.35111845820600457,1.5,1.5,13,90,1124,67,6241,7.0,7.0,6.0,3.0,3.0,3.0,5.0,7.0,5.125,0.23563648607851156,6.0,13.0,6.0,5.0,5.5,6.0
ZWEITER GRENADIER,0.0,5,0.4782608695652174,0.4782608695652174,5,0.016719830749323723,2.090909090909091,2.090909090909091,1,1,0,0,0,15.0,16.0,14.0,17.0,18.0,15.0,19.0,17.0,16.375,0.21062725200152588,18.0,7.0,18.0,19.0,18.5,19.0
ECKHOF,0.015367965367965369,6,0.5641025641025641,0.5641025641025641,10,0.05855667661994545,1.7727272727272727,1.7727272727272727,3,29,528,19,3259,12.0,8.0,9.0,10.0,14.0,10.0,10.0,10.0,10.375,0.2308514906044267,10.0,11.0,10.0,10.0,10.0,10.0
HOFDAMEN,0.003391053391053391,4,0.4782608695652174,0.4782608695652174,6,0.03959622958755085,2.090909090909091,2.090909090909091,2,3,0,0,0,18.0,16.0,10.0,14.0,15.0,12.0,17.0,17.0,14.875,0.3435470179923391,17.0,16.0,15.0,17.0,16.0,16.0
HOLZENDORF,0.0,3,0.44,0.44,3,0.01283997649451463,2.272727272727273,2.272727272727273,1,10,89,10,465,21.0,22.0,14.0,21.0,22.0,15.0,12.0,12.0,17.375,0.5667005854694598,21.0,23.0,21.0,13.0,17.0,18.0
SECKENDORF,0.0025252525252525255,8,0.55,0.55,23,0.26501731768561365,1.8181818181818181,1.8181818181818181,7,42,872,29,5108,8.0,9.0,12.0,7.0,8.0,8.0,9.0,8.0,8.625,0.18824257716346443,8.0,5.0,9.0,8.0,8.5,8.0
LAKAI,0.0,6,0.55,0.55,10,0.12641785024759924,1.8181818181818181,1.8181818181818181,3,4,20,2,102,12.0,9.0,14.0,10.0,9.0,10.0,14.0,15.0,11.625,0.30573024407614163,11.0,15.0,11.0,13.0,12.0,11.0
BEDIENTE,0.0,6,0.55,0.55,6,0.06690024175775461,1.8181818181818181,1.8181818181818181,1,1,0,0,0,12.0,9.0,14.0,14.0,13.0,15.0,19.0,17.0,14.125,0.38053944323439437,15.0,19.0,14.0,19.0,16.5,17.0
DIE TROMMLER,0.0,2,0.46808510638297873,0.46808510638297873,2,0.01614468264249998,2.1363636363636362,2.1363636363636362,1,3,0,0,0,22.0,21.0,14.0,22.0,21.0,15.0,17.0,17.0,18.625,0.4060782604023867,22.0,20.0,21.0,18.0,19.5,22.0
KÖNIGIN,0.16065416065416066,13,0.7096774193548387,0.7096774193548387,29,0.291832832722843,1.409090909090909,1.409090909090909,8,74,1855,36,10777,2.0,2.0,3.0,6.0,5.0,6.0,7.0,5.0,4.5,0.24090602791485788,5.0,14.0,3.0,6.0,4.5,4.0
ERBPRINZ,0.07212602212602212,13,0.7096774193548387,0.7096774193548387,42,0.42119579592678946,1.409090909090909,1.409090909090909,17,240,4781,162,27898,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,2.25,0.1456205931276794,2.0,3.0,2.0,2.0,2.0,2.0
KAMKE,0.01645021645021645,4,0.5116279069767442,0.5116279069767442,4,0.030839826287841786,1.9545454545454544,1.9545454545454544,2,8,78,4,459,18.0,15.0,8.0,20.0,17.0,12.0,13.0,13.0,14.5,0.47715675771026383,16.0,22.0,17.0,12.0,14.5,15.0
LAKAIEN,0.0,2,0.43137254901960786,0.43137254901960786,2,0.005060940224763705,2.318181818181818,2.318181818181818,1,1,0,0,0,22.0,23.0,14.0,22.0,23.0,15.0,19.0,17.0,19.375,0.4577580263788782,23.0,21.0,23.0,19.0,21.0,23.0
ERSTER GRENADIER,0.0,5,0.4782608695652174,0.4782608695652174,5,0.016719830749323723,2.090909090909091,2.090909090909091,1,1,0,0,0,15.0,16.0,14.0,17.0,18.0,15.0,19.0,17.0,16.375,0.21062725200152588,18.0,7.0,18.0,19.0,18.5,19.0
DRITTER GRENADIER,0.0,5,0.4782608695652174,0.4782608695652174,5,0.016719830749323723,2.090909090909091,2.090909090909091,1,1,0,0,0,15.0,16.0,14.0,17.0,18.0,15.0,19.0,17.0,16.375,0.21062725200152588,18.0,7.0,18.0,19.0,18.5,19.0
GRAF SCHWERIN,0.0,7,0.5238095238095238,0.5238095238095238,7,0.07613158566569996,1.909090909090909,1.909090909090909,1,4,20,4,104,10.0,13.0,14.0,12.0,11.0,15.0,14.0,15.0,13.0,0.23145502494313785,13.0,12.0,12.0,16.0,14.0,14.0
HOTHAM,0.052765752765752766,12,0.6875,0.6875,32,0.3494965021778767,1.4545454545454546,1.4545454545454546,9,143,3412,81,20104,4.0,4.0,7.0,3.0,4.0,5.0,3.0,3.0,4.125,0.1695253352325672,3.0,4.0,4.0,3.0,3.5,3.0
VIERECK,0.003391053391053391,4,0.4782608695652174,0.4782608695652174,6,0.039596229587550845,2.090909090909091,2.090909090909091,2,14,183,8,1039,18.0,16.0,10.0,14.0,16.0,12.0,11.0,11.0,13.5,0.36596252735569995,14.0,18.0,16.0,11.0,13.5,12.0
WILHELMINE,0.1253006253006253,12,0.6875,0.6875,30,0.2757378761280123,1.4545454545454546,1.4545454545454546,11,131,2198,101,12181,4.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.375,0.09300297614285562,4.0,2.0,5.0,4.0,4.5,4.0
GRUMBKOW,0.0025252525252525255,8,0.55,0.55,23,0.2684796045540521,1.8181818181818181,1.8181818181818181,6,54,547,45,3236,8.0,9.0,12.0,7.0,7.0,9.0,8.0,9.0,8.625,0.1997487260821169,8.0,6.0,8.0,9.0,8.5,8.0
KÖNIG,0.17667147667147667,15,0.7586206896551724,0.7586206896551724,49,0.4684834735912953,1.3181818181818183,1.3181818181818183,15,301,6497,172,37893,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.25,0.057863756235784464,1.0,1.0,1.0,1.0,1.0,1.0
GRAF WARTENSLEBEN,0.0,7,0.5238095238095238,0.5238095238095238,7,0.07613158566569996,1.909090909090909,1.909090909090909,1,4,54,2,276,10.0,13.0,14.0,12.0,11.0,15.0,14.0,14.0,12.875,0.2158610250667247,12.0,10.0,12.0,15.0,13.5,12.0
