,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,16,24,47,22,26,43,48,51,6.3999999999999995,0.444,0.0125235,4.564,0.021065,2.287,11.1375,367.3395
9,13,11,5,18,12,8,4,4,13.600000000000001,0.5225,0.038,11.8,0.0611,4.9,33.75,1855.25
8,9,6,3,6,10,2,3,2,2.782,0.32599999999999996,0.06335,26.200000000000003,0.101,10.100000000000001,78.75,1113.15
7,7,6,3,4,3,2,2,1,10.0,0.5615,0.1395,33.4,0.14100000000000001,12.7,56.25,4081.55
6,7,5,1,3,3,2,1,1,17.2,0.40449999999999997,0.2405,19.0,0.26,15.3,168.75,7049.95
5,2,3,0,3,2,1,1,0,20.8,0.64,0.0885,69.4,0.33999999999999997,7.5,213.75,2597.3500000000004
4,2,2,0,1,2,1,0,0,31.6,0.48350000000000004,0.114,40.6,0.38,25.7,101.25,3339.45
3,1,1,0,1,1,0,0,0,24.4,0.6005,0.16449999999999998,55.0,0.181,17.9,123.75,4823.65
2,1,1,0,1,0,0,0,0,28.0,0.6795,0.19,62.2,0.2205,20.5,146.25,5565.75
1,1,0,0,0,0,0,0,0,35.2,0.3655,0.21550000000000002,47.8,0.30000000000000004,23.1,191.25,6307.85
