name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ADJUTANT,0.0,1,0.3904761904761905,0.3904761904761905,1,0.006853671867183738,2.5609756097560976,2.5609756097560976,1,4,86,13,431,41.0,32.0,22.0,41.0,23.0,30.0,31.0,22.0,30.25,0.9722718241315028,35.0,33.0,38.0,31.0,34.5,36.0
GESANG,0.0,11,0.5125,0.5125,11,0.055491040734573664,1.9512195121951221,1.9512195121951221,1,2,70,12,370,14.0,14.0,22.0,23.0,16.0,30.0,36.0,26.0,22.625,0.9886351974168371,28.0,35.0,18.0,35.0,26.5,28.0
EIN BOJAR,0.006369961339473532,15,0.5466666666666666,0.5466666666666666,65,0.34446297651406366,1.829268292682927,1.829268292682927,8,19,216,37,1210,5.0,6.0,13.0,3.0,2.0,4.0,14.0,14.0,7.625,0.6441269700698989,6.0,19.0,4.0,10.0,7.0,6.0
MENZIKOF,0.07986956133297593,15,0.5540540540540541,0.5540540540540541,24,0.07501417087003655,1.8048780487804879,1.8048780487804879,7,48,1096,169,5902,5.0,5.0,9.0,14.0,15.0,8.0,5.0,5.0,8.25,0.5207738061220603,9.0,14.0,11.0,5.0,8.0,8.0
PETER,0.18980815932035447,23,0.6307692307692307,0.6307692307692307,49,0.1597888114918602,1.5853658536585367,1.5853658536585367,11,103,2765,391,14892,1.0,1.0,3.0,9.0,12.0,3.0,2.0,2.0,4.125,0.5107657941058421,3.0,12.0,3.0,2.0,2.5,3.0
EIN DRITTER AUS DEM VOLK,0.0,8,0.3445378151260504,0.3445378151260504,8,0.0005482299404221594,2.902439024390244,2.902439024390244,1,2,14,2,60,20.0,35.0,22.0,28.0,35.0,30.0,36.0,37.0,30.375,0.8208703460352311,37.0,27.0,30.0,40.0,35.0,37.0
EIN ZWEITER AUS DEM VOLK,0.0,8,0.3445378151260504,0.3445378151260504,8,0.0005482299404221594,2.902439024390244,2.902439024390244,1,2,2,2,6,20.0,35.0,22.0,28.0,35.0,30.0,36.0,41.0,30.875,0.907403822136854,39.0,31.0,30.0,42.0,36.0,39.0
ALEXIS,0.049825783972125434,13,0.5256410256410257,0.5256410256410257,38,0.2034277582687033,1.9024390243902438,1.9024390243902438,8,82,2400,360,12813,12.0,12.0,10.0,11.0,10.0,4.0,3.0,3.0,8.125,0.5063767478017585,8.0,10.0,12.0,4.0,8.0,8.0
EIN VIERTER AUS DEM VOLK,0.0,8,0.3445378151260504,0.3445378151260504,8,0.0005482299404221594,2.902439024390244,2.902439024390244,1,3,12,3,87,20.0,35.0,22.0,28.0,35.0,30.0,34.0,38.0,30.25,0.8149003006503311,35.0,26.0,30.0,38.0,34.0,34.0
LAPUCHIN,0.006369961339473532,15,0.5466666666666666,0.5466666666666666,59,0.31624997298257873,1.829268292682927,1.829268292682927,7,27,625,104,3512,5.0,6.0,13.0,5.0,5.0,8.0,11.0,8.0,7.625,0.3775951866748304,6.0,6.0,7.0,8.0,7.5,7.0
EIN VIERTER BOJAR,0.006369961339473532,15,0.5466666666666666,0.5466666666666666,53,0.2857351831267029,1.829268292682927,1.829268292682927,6,2,8,2,32,5.0,6.0,13.0,6.0,7.0,11.0,36.0,40.0,15.5,1.7740691724313988,15.0,42.0,9.0,32.0,20.5,21.0
EINER AUS DEM VOLK,0.0,8,0.3445378151260504,0.3445378151260504,8,0.0005482299404221594,2.902439024390244,2.902439024390244,1,10,86,16,444,20.0,35.0,22.0,28.0,35.0,30.0,17.0,22.0,26.125,0.8593952919682205,29.0,30.0,30.0,23.0,26.5,28.0
GLEBOF,0.19696810303517626,19,0.6307692307692307,0.6307692307692307,66,0.31669232547461407,1.5853658536585367,1.5853658536585367,13,119,3625,554,19650,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,0.1336306209562122,1.0,1.0,2.0,1.0,1.5,1.0
PAGE,0.0,2,0.36283185840707965,0.36283185840707965,2,0.0016361554526731234,2.7560975609756095,2.7560975609756095,1,2,11,2,52,36.0,33.0,22.0,37.0,34.0,30.0,36.0,39.0,33.375,0.6679442743009544,40.0,20.0,39.0,41.0,40.0,42.0
SCHEPELEW,0.0006140201262152483,7,0.4939759036144578,0.4939759036144578,9,0.03347063167238896,2.024390243902439,2.024390243902439,2,6,127,21,692,33.0,15.0,20.0,26.0,17.0,18.0,23.0,19.0,21.375,0.7286775570462268,24.0,22.0,28.0,21.0,24.5,25.0
STEUERMANN,0.0951219512195122,6,0.422680412371134,0.422680412371134,8,0.011874839269692397,2.3658536585365852,2.3658536585365852,3,6,37,7,195,34.0,21.0,5.0,28.0,19.0,17.0,23.0,30.0,22.125,1.1268585837881977,26.0,36.0,23.0,26.0,24.5,25.0
VIERTER BAUER,0.0,8,0.41836734693877553,0.41836734693877553,14,0.006658005813193018,2.3902439024390243,2.3902439024390243,2,10,129,7,630,20.0,22.0,22.0,16.0,24.0,18.0,17.0,18.0,19.625,0.35315857931368044,19.0,5.0,20.0,16.0,18.0,16.0
ERSTER BAUER,0.0,8,0.41836734693877553,0.41836734693877553,14,0.006658005813193018,2.3902439024390243,2.3902439024390243,2,6,52,6,250,20.0,22.0,22.0,16.0,24.0,18.0,23.0,28.0,21.625,0.4626085779885317,25.0,9.0,20.0,23.0,21.5,23.0
