,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,5,5,3,2,2,2,2,8.8,0.9844999999999999,0.0010989,23.9,0.125,1.594,14.2365,239.5715
9,4,4,5,2,2,2,2,2,8.0,0.8925000000000001,0.0211,8.286999999999999,0.428,6.4,127.85,2064.65
8,1,1,0,2,1,1,1,1,5.198,0.7075,0.0033300000000000005,31.7,0.192,5.199999999999999,59.75,697.55
7,0,0,0,1,1,1,1,1,5.6,0.7384999999999999,0.005555,13.5,0.22599999999999998,7.6,105.15,1153.25
6,0,0,0,1,1,1,1,1,6.0,0.7695000000000001,0.0077800000000000005,16.1,0.2935,8.8,150.55,1608.9499999999998
5,0,0,0,1,1,1,1,1,6.4,0.8,0.009995,29.1,0.32699999999999996,10.0,173.25,2520.35
4,0,0,0,0,1,1,1,1,6.8,0.8305,0.012199999999999999,10.899999999999999,0.361,11.2,195.95,2976.05
3,0,0,0,0,1,1,1,1,7.2,0.8614999999999999,0.01445,18.7,0.39449999999999996,12.4,218.65,4343.15
2,0,0,0,0,0,0,0,0,7.6,0.923,0.0167,21.3,0.15849999999999997,2.8,37.05,3431.75
1,0,0,0,0,0,0,0,0,8.399999999999999,0.9535,0.0189,26.5,0.26,4.0,82.44999999999999,3887.45
