name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
DIE GENERALE,0.007912866246199577,16,0.6166666666666667,0.6166666666666667,24,0.23925374639887162,1.6216216216216215,1.6216216216216215,2,0,0,0,0,9.0,8.0,16.0,9.0,8.0,16.0,38.0,38.0,17.75,1.615701417783797,15.0,37.0,9.0,36.0,22.5,21.0
ARZT,0.008111683111683109,5,0.46835443037974683,0.46835443037974683,8,0.048555558903252645,2.135135135135135,2.135135135135135,4,21,413,70,2366,28.0,25.0,15.0,25.0,22.0,7.0,15.0,13.0,18.75,0.9130746722710346,17.0,24.0,23.0,13.0,18.0,15.0
ERSTER TÜRSTEHER,0.05405405405405406,4,0.44047619047619047,0.44047619047619047,4,0.02179012606858869,2.27027027027027,2.27027027027027,2,6,47,6,275,29.0,28.0,6.0,31.0,27.0,16.0,20.0,24.0,22.625,1.0435548363304017,26.0,30.0,25.0,21.0,23.0,22.0
DIE GEISTLICHEN,0.0,15,0.5606060606060606,0.5606060606060606,15,0.14362541350102692,1.783783783783784,1.783783783783784,1,4,4,4,20,13.0,13.0,21.0,13.0,14.0,27.0,21.0,34.0,19.5,0.9774237273860007,20.0,26.0,15.0,31.0,23.0,22.0
DER SEKRETÄR,0.0,15,0.5606060606060606,0.5606060606060606,15,0.14362541350102695,1.783783783783784,1.783783783783784,1,4,16,4,100,13.0,13.0,21.0,13.0,12.0,27.0,21.0,27.0,18.375,0.8043894645719111,16.0,19.0,13.0,25.0,19.0,17.0
SEKRETÄR,0.0,3,0.45121951219512196,0.45121951219512196,3,0.018762542062970906,2.2162162162162162,2.2162162162162162,1,1,3,1,23,32.0,27.0,21.0,33.0,30.0,27.0,33.0,35.0,29.75,0.5698919070440338,37.0,7.0,33.0,37.0,35.0,38.0
SCHAPHIROW,0.016825350158683493,18,0.6379310344827587,0.6379310344827587,32,0.3132130388544492,1.5675675675675675,1.5675675675675675,4,26,337,56,1893,5.0,3.0,9.0,2.0,2.0,7.0,10.0,15.0,6.625,0.5706258312464607,6.0,8.0,2.0,11.0,6.5,6.0
AARON,0.04269654269654269,8,0.5068493150684932,0.5068493150684932,9,0.028509192759842348,1.9729729729729728,1.9729729729729728,2,28,1734,144,9844,18.0,18.0,7.0,24.0,25.0,16.0,9.0,5.0,15.25,0.94432042836559,12.0,25.0,19.0,8.0,13.5,11.0
DER BOTE,0.0,6,0.3978494623655914,0.3978494623655914,6,0.008708174334925042,2.5135135135135136,2.5135135135135136,1,2,56,10,356,21.0,30.0,21.0,28.0,35.0,27.0,26.0,23.0,26.375,0.5973808159672641,34.0,11.0,31.0,27.0,29.0,35.0
MENZIKOF,0.09902759902759903,21,0.6379310344827587,0.6379310344827587,28,0.2423029740390949,1.5675675675675675,1.5675675675675675,5,48,836,133,4542,2.0,3.0,4.0,7.0,7.0,5.0,5.0,8.0,5.125,0.2625212576426635,4.0,3.0,4.0,5.0,4.5,3.0
THEOPHANES,0.016825350158683493,18,0.6379310344827587,0.6379310344827587,31,0.301999748662752,1.5675675675675675,1.5675675675675675,3,12,572,76,3026,5.0,3.0,9.0,4.0,4.0,12.0,19.0,9.0,8.125,0.6762471943432689,7.0,14.0,6.0,15.0,10.5,8.0
THERESE,0.015240240240240238,4,0.4567901234567901,0.4567901234567901,6,0.02414850633472099,2.1891891891891895,2.1891891891891895,3,26,245,27,1320,29.0,26.0,13.0,28.0,26.0,12.0,10.0,18.0,20.25,0.983683856008336,22.0,27.0,26.0,15.0,20.5,18.0
ALLGEMEINER RUF,0.0,15,0.5606060606060606,0.5606060606060606,15,0.14362541350102692,1.783783783783784,1.783783783783784,1,1,1,1,4,13.0,13.0,21.0,13.0,14.0,27.0,33.0,37.0,21.375,1.22827096097377,23.0,34.0,15.0,38.0,26.5,31.0
ANDRE 1.3,0.0,7,0.4868421052631579,0.4868421052631579,7,0.07681130422152684,2.054054054054054,2.054054054054054,1,2,10,2,76,19.0,20.0,21.0,26.0,19.0,27.0,26.0,29.0,23.375,0.504167896495942,27.0,5.0,21.0,31.0,26.0,30.0
SCHEPELEW,0.0,2,0.39361702127659576,0.39361702127659576,6,0.03149516840334428,2.5405405405405403,2.5405405405405403,4,23,323,49,1749,35.0,35.0,21.0,28.0,24.0,7.0,13.0,16.0,22.375,1.267621331189135,24.0,35.0,33.0,14.0,23.5,25.0
PETER,0.2900192483525817,26,0.7551020408163265,0.7551020408163265,49,0.3655425603928773,1.3243243243243243,1.3243243243243243,13,173,4704,698,25743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MEHRERE DEPUTIERTE,0.0,6,0.3978494623655914,0.3978494623655914,10,0.015387568691545932,2.5135135135135136,2.5135135135135136,2,1,7,1,27,21.0,30.0,21.0,19.0,31.0,16.0,33.0,32.0,25.375,0.8476266761628359,33.0,20.0,26.0,30.0,28.0,33.0
EIN GENERAL,0.007912866246199577,16,0.6166666666666667,0.6166666666666667,24,0.23925374639887162,1.6216216216216215,1.6216216216216215,2,3,30,3,123,9.0,8.0,16.0,9.0,8.0,16.0,25.0,25.0,14.5,0.9087864749999623,11.0,23.0,9.0,22.0,15.5,12.0
EIN ANDRER DER DEPUTIERTEN,0.0,6,0.3978494623655914,0.3978494623655914,10,0.015387568691545932,2.5135135135135136,2.5135135135135136,2,2,8,2,26,21.0,30.0,21.0,19.0,31.0,16.0,26.0,30.0,24.25,0.7188470431382266,31.0,16.0,26.0,24.0,25.0,27.0
ZWEITER TÜRSTEHER,0.0,1,0.30833333333333335,0.30833333333333335,1,0.0008739702620392515,3.243243243243243,3.243243243243243,1,4,152,2,886,38.0,38.0,21.0,38.0,38.0,27.0,21.0,21.0,30.25,1.0643366478704002,38.0,31.0,38.0,23.0,30.5,36.0
JAGUSCHINSKY,0.016825350158683493,18,0.6379310344827587,0.6379310344827587,32,0.3132130388544492,1.5675675675675675,1.5675675675675675,4,22,512,74,2864,5.0,3.0,9.0,2.0,2.0,7.0,14.0,10.0,6.5,0.5386822546070842,5.0,6.0,2.0,9.0,5.5,5.0
DIE SENATOREN,0.007912866246199577,16,0.6166666666666667,0.6166666666666667,24,0.23925374639887162,1.6216216216216215,1.6216216216216215,2,2,2,2,14,9.0,8.0,16.0,9.0,8.0,16.0,26.0,36.0,16.0,1.2730026371872583,13.0,36.0,9.0,28.0,18.5,16.0
TOLSTOI,0.09769093102426434,19,0.6607142857142857,0.6607142857142857,30,0.2783448797162726,1.5135135135135136,1.5135135135135136,6,81,1883,282,10637,4.0,2.0,5.0,6.0,6.0,4.0,4.0,4.0,4.375,0.1628087725786649,2.0,2.0,4.0,4.0,4.0,2.0
KATHARINA,0.04214214214214214,6,0.5,0.5,13,0.08603188138600429,2.0,2.0,10,93,2605,401,14210,21.0,19.0,8.0,18.0,18.0,2.0,3.0,3.0,11.5,1.032939633141398,10.0,29.0,18.0,3.0,10.5,8.0
ALEXIS,0.12386679886679886,20,0.6166666666666667,0.6166666666666667,25,0.17203402910365834,1.6216216216216215,1.6216216216216215,8,104,3463,468,18974,3.0,8.0,3.0,8.0,11.0,3.0,2.0,2.0,5.0,0.4330127018922193,3.0,4.0,8.0,2.0,5.0,4.0
ANNA,0.0,2,0.3394495412844037,0.3394495412844037,3,0.005387774335748015,2.9459459459459456,2.9459459459459456,2,17,209,13,1130,35.0,37.0,21.0,33.0,37.0,16.0,16.0,19.0,26.75,1.1966284481229512,35.0,33.0,36.0,18.0,27.0,32.0
MONS,0.006456456456456456,6,0.4805194805194805,0.4805194805194805,10,0.05369405165620065,2.081081081081081,2.081081081081081,5,17,439,65,2349,21.0,22.0,19.0,19.0,21.0,5.0,16.0,12.0,16.875,0.7240680586598394,14.0,17.0,20.0,12.0,16.0,13.0
ANDRE 4.4,0.0,15,0.5606060606060606,0.5606060606060606,15,0.14362541350102692,1.783783783783784,1.783783783783784,1,2,8,2,52,13.0,13.0,21.0,13.0,14.0,27.0,26.0,30.0,19.625,0.906173026287711,21.0,22.0,15.0,34.0,24.5,26.0
EUPHROSYNE,0.009513009513009513,4,0.47435897435897434,0.47435897435897434,4,0.03587835660875844,2.1081081081081083,2.1081081081081083,3,29,497,72,2651,29.0,23.0,14.0,31.0,23.0,12.0,8.0,11.0,18.875,1.0926652784427104,18.0,32.0,24.0,9.0,16.5,14.0
DANILOW,0.20505120505120505,16,0.5967741935483871,0.5967741935483871,22,0.12703899751083028,1.6756756756756757,1.6756756756756757,4,48,1020,91,5537,9.0,12.0,2.0,12.0,17.0,7.0,5.0,7.0,8.875,0.5879652413195868,9.0,10.0,12.0,6.0,9.0,7.0
EIN DRITTER DEPUTIERTER,0.0,6,0.3978494623655914,0.3978494623655914,10,0.015387568691545932,2.5135135135135136,2.5135135135135136,2,1,27,4,162,21.0,30.0,21.0,19.0,31.0,16.0,33.0,26.0,24.625,0.7818747501998002,32.0,18.0,26.0,25.0,25.5,28.0
EINIGE,0.0,7,0.4868421052631579,0.4868421052631579,7,0.07681130422152684,2.054054054054054,2.054054054054054,1,2,6,2,38,19.0,20.0,21.0,26.0,19.0,27.0,26.0,33.0,23.875,0.6211937672164551,28.0,12.0,21.0,35.0,28.0,33.0
DER NACHBAR,0.0,15,0.5606060606060606,0.5606060606060606,15,0.14362541350102695,1.783783783783784,1.783783783783784,1,2,16,2,74,13.0,13.0,21.0,13.0,12.0,27.0,26.0,27.0,19.0,0.8685990362153793,19.0,21.0,13.0,29.0,21.0,19.0
DENTSCHIK,0.0,3,0.43529411764705883,0.43529411764705883,3,0.021756424318983097,2.2972972972972974,2.2972972972972974,1,1,57,7,284,32.0,29.0,21.0,33.0,28.0,27.0,33.0,22.0,28.125,0.5841565195097238,36.0,9.0,33.0,31.0,32.0,37.0
EINER DER DEPUTIERTEN,0.0,6,0.3978494623655914,0.3978494623655914,10,0.015387568691545932,2.5135135135135136,2.5135135135135136,2,4,208,26,1068,21.0,30.0,21.0,19.0,31.0,16.0,21.0,20.0,22.375,0.6612268764522939,24.0,13.0,26.0,20.0,23.0,22.0
COSTA,0.0006756756756756757,2,0.39361702127659576,0.39361702127659576,2,0.008339073444414624,2.5405405405405403,2.5405405405405403,2,43,1093,46,6148,35.0,35.0,20.0,37.0,36.0,16.0,7.0,6.0,24.0,1.6690459207925603,29.0,38.0,36.0,7.0,21.5,20.0
OSTERMANN,0.016825350158683493,18,0.6379310344827587,0.6379310344827587,31,0.301999748662752,1.5675675675675675,1.5675675675675675,3,14,366,60,2140,5.0,3.0,9.0,4.0,4.0,12.0,18.0,14.0,8.625,0.6941641299330543,8.0,15.0,6.0,17.0,11.5,10.0
GORDON,0.0,3,0.47435897435897434,0.47435897435897434,3,0.02090046140234377,2.1081081081081083,2.1081081081081083,1,26,294,54,1622,32.0,23.0,21.0,33.0,29.0,27.0,10.0,17.0,24.0,0.9842509842514764,29.0,28.0,32.0,19.0,25.5,28.0
