,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,11,8,30,12,16,23,23,27,4.75,0.4645,0.014355000000000001,8.2,0.0189045,1.594,8.563500000000001,232.84799999999998
9,9,7,3,8,6,5,8,4,14.75,0.42000000000000004,0.043500000000000004,3.376,0.1285,4.0,25.950000000000003,705.5999999999999
8,7,6,2,6,4,4,3,2,2.2375,0.6435,0.1015,13.0,0.238,2.8,43.25,1176.0
7,4,5,1,5,4,2,1,1,17.25,0.554,0.1305,22.6,0.311,5.199999999999999,77.85,1646.4
6,3,5,1,5,3,1,1,1,7.25,0.5985,0.21750000000000003,32.2,0.09190000000000001,6.4,95.15,2116.8
5,3,2,1,1,2,1,1,1,19.75,0.3305,0.27549999999999997,27.4,0.05555,7.6,112.44999999999999,2587.2
4,1,2,0,1,1,1,1,1,24.75,0.3755,0.0725,46.6,0.16499999999999998,10.0,164.35,3528.0
3,0,2,0,0,1,1,0,1,9.75,0.5095000000000001,0.15949999999999998,17.8,0.27449999999999997,12.4,60.55,4468.8
2,0,1,0,0,1,0,0,0,12.25,0.7324999999999999,0.1885,37.0,0.34750000000000003,8.8,129.75,3057.6000000000004
1,0,0,0,0,0,0,0,0,22.25,0.688,0.2465,41.8,0.2015,11.2,147.05,3998.4
