name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
GENDARM,0.0,8,0.6818181818181818,0.6818181818181818,8,0.10379872335007084,1.4666666666666668,1.4666666666666668,1,5,66,4,364,13.0,13.0,9.0,13.0,13.0,9.0,14.0,14.0,12.25,0.25660906898571273,14.0,12.0,13.0,15.0,14.0,14.0
AMTSVORSTEHER,0.0,10,0.75,0.75,10,0.10927549325538888,1.3333333333333333,1.3333333333333333,1,14,530,3,2862,8.0,8.0,9.0,9.0,9.0,9.0,11.0,7.0,8.75,0.1456205931276794,8.0,7.0,8.0,9.0,8.5,8.0
ANNA,0.0,6,0.625,0.625,6,0.07735074838867077,1.6,1.6,1,9,66,9,340,15.0,15.0,9.0,15.0,15.0,9.0,13.0,14.0,13.125,0.3302968091623913,15.0,14.0,15.0,13.0,14.0,14.0
FIEBIG,0.055192743764172346,15,1.0,1.0,35,0.3937448564033214,1.0,1.0,5,322,9745,160,53789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MEISCHEN,0.041360544217687076,14,0.9375,0.9375,28,0.32522586593712977,1.0666666666666667,1.0666666666666667,4,73,1434,46,7807,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.875,0.04419417382415922,5.0,3.0,5.0,5.0,5.0,5.0
WERNER,0.055192743764172346,15,1.0,1.0,35,0.3937448564033214,1.0,1.0,5,151,2875,99,15933,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.5,0.11572751247156893,3.0,6.0,1.0,3.0,2.0,3.0
BELLERMANN,0.0199546485260771,13,0.8823529411764706,0.8823529411764706,25,0.2828572881033175,1.1333333333333333,1.1333333333333333,3,40,797,20,5113,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,1.0,6.0,6.0,6.0,6.0
HAHN,0.055192743764172346,15,1.0,1.0,35,0.3937448564033214,1.0,1.0,5,104,1031,83,5726,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.875,0.2052600702245116,4.0,9.0,1.0,4.0,2.5,4.0
FRAU FIEBIG,0.0,6,0.625,0.625,6,0.07735074838867077,1.6,1.6,1,28,353,23,1865,15.0,15.0,9.0,15.0,15.0,9.0,7.0,8.0,11.625,0.4577580263788782,13.0,16.0,15.0,8.0,11.5,12.0
NAPHTALI,0.0,10,0.75,0.75,10,0.10927549325538888,1.3333333333333333,1.3333333333333333,1,21,295,15,1851,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.875,0.08010874305770696,9.0,5.0,8.0,10.0,9.0,9.0
STYCZINSKI,0.0199546485260771,13,0.8823529411764706,0.8823529411764706,25,0.2828572881033175,1.1333333333333333,1.1333333333333333,3,22,333,17,2021,6.0,6.0,6.0,6.0,6.0,6.0,8.0,9.0,6.625,0.1484668673956776,7.0,8.0,6.0,7.0,6.5,7.0
DIENSTMANN,0.0,10,0.75,0.75,10,0.10927549325538888,1.3333333333333333,1.3333333333333333,1,5,81,3,461,8.0,8.0,9.0,9.0,9.0,9.0,14.0,13.0,9.875,0.28689766094749336,11.0,13.0,8.0,13.0,10.5,10.0
GEHRKE,0.055192743764172346,15,1.0,1.0,35,0.3937448564033214,1.0,1.0,5,192,4955,86,30569,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.25,0.057863756235784464,2.0,4.0,1.0,2.0,1.5,2.0
WASCHFRAU,0.0,7,0.6521739130434783,0.6521739130434783,7,0.0910776988766035,1.5333333333333332,1.5333333333333332,1,1,23,0,124,14.0,14.0,9.0,14.0,14.0,9.0,16.0,16.0,13.25,0.3455714728636362,16.0,15.0,14.0,16.0,15.0,16.0
SCHWABE,0.0,10,0.75,0.75,10,0.10927549325538886,1.3333333333333333,1.3333333333333333,1,12,110,11,585,8.0,8.0,9.0,9.0,12.0,9.0,12.0,12.0,9.875,0.22596519169363863,11.0,10.0,11.0,12.0,11.5,12.0
DRUCKERJUNGE,0.00272108843537415,9,0.7142857142857143,0.7142857142857143,15,0.18780698875084031,1.4,1.4,2,21,187,18,1104,12.0,12.0,8.0,8.0,8.0,8.0,9.0,11.0,9.5,0.23145502494313785,10.0,11.0,12.0,10.0,11.0,11.0
