,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,6,18,8,8,16,15,16,1.9500000000000002,0.496,0.010791,1.584,0.08839999999999999,2.3365,6.791499999999999,182.0215
9,4,6,2,8,6,5,4,4,7.15,0.628,0.0545,8.0,0.029106,5.050000000000001,18.549999999999997,549.55
8,4,5,2,2,6,1,1,1,12.35,0.43000000000000005,0.20700000000000002,4.800000000000001,0.2055,10.45,30.25,915.25
7,3,3,1,2,2,1,1,1,0.6435000000000001,0.364,0.0763,14.4,0.147,18.549999999999997,41.95,2012.35
6,2,2,1,2,2,1,1,1,4.55,0.032719500000000006,0.14200000000000002,17.6,0.5585,26.65,65.35,3109.45
5,2,2,0,1,0,0,1,1,5.85,0.562,0.0327,27.200000000000003,0.26449999999999996,7.75,77.05000000000001,3475.15
4,2,0,0,1,0,0,1,0,11.05,0.09905,0.09809999999999999,30.4,0.3235,13.15,112.15,1280.9499999999998
3,1,0,0,0,0,0,0,0,3.25,0.165,0.12,11.2,0.382,15.85,53.65,1646.65
2,0,0,0,0,0,0,0,0,8.45,0.231,0.16349999999999998,20.799999999999997,0.4405,21.25,88.75,2378.05
1,0,0,0,0,0,0,0,0,9.75,0.2975,0.185,24.0,0.4995,23.950000000000003,100.44999999999999,2743.75
