name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
DER KNABE,0.0,2,0.52,0.52,2,0.013950874812848004,1.923076923076923,1.923076923076923,2,23,331,15,1730,14.0,14.0,12.0,14.0,14.0,14.0,14.0,14.0,13.75,0.08838834764831845,14.0,1.0,14.0,14.0,14.0,14.0
ROBERT,0.004451566951566952,11,0.8666666666666667,0.8666666666666667,46,0.31392259726811533,1.1538461538461537,1.1538461538461537,11,104,1718,73,9527,4.0,4.0,6.0,4.0,4.0,6.0,5.0,5.0,4.75,0.11080065755348979,5.0,2.0,6.0,5.0,5.5,5.0
VISITATOR,0.042022792022792015,11,0.8666666666666667,0.8666666666666667,39,0.258273247682849,1.1538461538461537,1.1538461538461537,11,47,1491,30,8598,4.0,4.0,4.0,8.0,8.0,6.0,11.0,7.0,6.5,0.31339158526400435,8.0,12.0,7.0,7.0,7.0,7.0
MISTRISS SMITH,0.004451566951566952,11,0.8666666666666667,0.8666666666666667,42,0.2906673069390019,1.1538461538461537,1.1538461538461537,9,71,1583,39,9078,4.0,4.0,6.0,7.0,7.0,8.0,8.0,6.0,6.25,0.19764235376052372,7.0,6.0,7.0,6.0,6.5,6.0
LIDDY,0.07496438746438745,12,0.9285714285714286,0.9285714285714286,45,0.30531520952515356,1.0769230769230769,1.0769230769230769,18,163,2128,128,11653,1.0,1.0,1.0,6.0,5.0,1.0,2.0,4.0,2.625,0.2582349082853495,2.0,9.0,3.0,2.0,2.5,2.0
MÄSTER STAFF,0.03418803418803418,10,0.8125,0.8125,36,0.2398937533304582,1.2307692307692308,1.2307692307692308,8,97,1171,72,6888,10.0,10.0,5.0,9.0,9.0,9.0,6.0,10.0,8.5,0.24090602791485788,10.0,8.0,10.0,8.0,9.0,9.0
GURLI,0.004451566951566952,11,0.8666666666666667,0.8666666666666667,61,0.39830561114899526,1.1538461538461537,1.1538461538461537,17,196,3197,147,17273,4.0,4.0,6.0,1.0,1.0,2.0,1.0,2.0,2.625,0.2308514906044267,2.0,7.0,4.0,1.0,2.5,2.0
FAZIR,0.0,9,0.7647058823529411,0.7647058823529411,28,0.19946657432439432,1.3076923076923077,1.3076923076923077,8,53,1445,32,7839,12.0,12.0,12.0,11.0,11.0,9.0,10.0,8.0,10.625,0.18824257716346443,11.0,5.0,12.0,9.0,10.5,11.0
MÄSTER STRUSSEL,0.0,3,0.5416666666666666,0.5416666666666666,6,0.03637127028521508,1.8461538461538463,1.8461538461538463,3,83,928,68,5164,13.0,13.0,12.0,13.0,13.0,13.0,7.0,12.0,12.0,0.25877458475338283,13.0,10.0,13.0,12.0,12.5,13.0
MUSAFFERY,0.0014245014245014244,10,0.8125,0.8125,23,0.16069120838017506,1.2307692307692308,1.2307692307692308,7,41,526,33,2809,10.0,10.0,11.0,12.0,12.0,11.0,12.0,13.0,11.375,0.13258252147247765,12.0,4.0,11.0,13.0,12.0,12.0
JACK,0.004451566951566952,11,0.8666666666666667,0.8666666666666667,50,0.33676411969620723,1.1538461538461537,1.1538461538461537,13,38,1144,23,6330,4.0,4.0,6.0,3.0,3.0,4.0,13.0,11.0,6.0,0.48181205582971576,6.0,14.0,5.0,10.0,7.5,8.0
SIR JOHN,0.004451566951566952,11,0.8666666666666667,0.8666666666666667,33,0.23285627060702346,1.1538461538461537,1.1538461538461537,7,66,1332,41,7302,4.0,4.0,6.0,10.0,10.0,11.0,9.0,9.0,7.875,0.34998405575927927,9.0,13.0,9.0,11.0,10.0,10.0
KABERDAR,0.07496438746438745,12,0.9285714285714286,0.9285714285714286,46,0.29966590371823804,1.0769230769230769,1.0769230769230769,12,136,3324,87,18675,1.0,1.0,1.0,4.0,6.0,5.0,4.0,1.0,2.875,0.2625212576426635,4.0,11.0,2.0,4.0,3.0,4.0
SAMUEL,0.057870370370370385,12,0.9285714285714286,0.9285714285714286,51,0.34101093141547484,1.0769230769230769,1.0769230769230769,14,152,2809,94,15894,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.25,0.11080065755348979,1.0,2.0,1.0,3.0,2.0,1.0
