,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,9,9,4,4,4,4,3,12.8,0.988,0.00785,26.435000000000002,0.06785,3.3365,62.150000000000006,333.3245
9,2,2,4,2,3,2,3,3,10.8,0.8705,0.00040887000000000003,91.5,0.2905,6.050000000000001,21.8495,981.6500000000001
8,1,1,1,2,2,2,2,3,9.198,0.776,0.00289,104.5,0.14250000000000002,14.15,222.55,6142.45
7,1,1,0,2,2,2,1,2,10.0,0.8235,0.001238,130.5,0.3655,16.85,102.25,2271.85
6,1,1,0,2,2,2,1,2,12.0,0.9175,0.002065,143.5,0.40249999999999997,27.65,142.35,2916.95
5,0,0,0,1,1,1,1,1,9.600000000000001,0.8,0.003715,39.5,0.2535,22.25,182.45,3562.05
4,0,0,0,1,0,1,1,0,10.399999999999999,0.847,0.004545,52.5,0.1053,24.950000000000003,262.65,1626.75
3,0,0,0,0,0,0,1,0,11.2,0.894,0.00537,65.5,0.1795,8.75,382.95,4207.15
2,0,0,0,0,0,0,0,0,11.600000000000001,0.9410000000000001,0.006195000000000001,78.5,0.2165,11.45,302.75,4852.25
1,0,0,0,0,0,0,0,0,12.399999999999999,0.9644999999999999,0.007025,117.5,0.32799999999999996,19.549999999999997,342.85,5497.35
