,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,17,20,36,13,10,19,22,27,16.5,0.6305000000000001,0.0082665,17.700000000000003,0.10070000000000001,1.198,16.8005,249.916
9,13,13,2,8,10,15,8,3,19.5,0.6739999999999999,0.1585,29.3,0.1875,2.0,46.849999999999994,749.2
8,3,3,1,7,9,3,4,3,10.485,0.587,0.041650000000000006,23.5,0.07175000000000001,2.8,136.55,1246.0
7,3,2,1,6,7,2,2,3,13.5,0.9784999999999999,0.0917,11.871,0.1295,4.8,76.75,1742.8000000000002
6,2,1,0,2,2,1,2,2,37.5,0.761,0.025,35.1,0.3325,4.0,286.05,3730.0
5,1,1,0,2,1,0,1,1,28.5,0.848,0.05835,64.1,0.2455,1.6,106.65,2239.6
4,1,0,0,1,1,0,1,1,31.5,0.7175,0.07505,40.9,0.3035,2.4000000000000004,256.15,4723.6
3,0,0,0,1,0,0,0,0,22.5,0.8045,0.10850000000000001,52.5,0.15849999999999997,3.2,166.45,2736.4
2,0,0,0,0,0,0,0,0,25.5,0.8915,0.125,46.7,0.21650000000000003,3.5999999999999996,196.35000000000002,3233.2
1,0,0,0,0,0,0,0,0,34.5,0.935,0.14150000000000001,58.3,0.27449999999999997,4.4,226.25,4226.8
