,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,4,2,3,2,3,4,6.1,0.7665,0.013563,6.5,0.046349999999999995,7.3,38.4,1458.8000000000002
9,2,2,3,2,3,2,2,2,3.0999999999999996,0.4905,0.0411,8.7,0.196,9.1,31.6,645.2
8,2,2,2,1,2,1,2,1,4.9,0.5255000000000001,0.2605,2.089,0.4955,1.891,65.6,236.366
7,1,2,1,1,1,1,1,1,1.2970000000000002,0.6975,0.09609999999999999,4.300000000000001,0.396,3.6999999999999997,4.366,1865.6
6,1,1,0,1,1,1,1,1,1.9000000000000001,0.8009999999999999,0.0685,13.1,0.44599999999999995,5.5,11.2,2679.2
5,1,0,0,1,0,1,1,1,6.7,0.56,0.1235,17.5,0.09625,14.5,45.2,3899.6
4,0,0,0,1,0,1,0,0,2.5,0.594,0.15050000000000002,19.700000000000003,0.14600000000000002,16.3,18.0,1052.0
3,0,0,0,1,0,1,0,0,3.7,0.6285000000000001,0.178,21.9,0.246,18.1,24.799999999999997,2272.4
2,0,0,0,0,0,0,0,0,4.3,0.663,0.20550000000000002,10.9,0.29600000000000004,10.9,52.0,3086.0
1,0,0,0,0,0,0,0,0,5.5,0.732,0.23299999999999998,15.299999999999999,0.346,12.7,58.8,3492.8
