,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,13,9,19,11,12,15,15,20,9.55,0.569,0.0184635,11.0,0.0734,1.8415000000000001,6.0489999999999995,302.851
9,4,5,3,6,5,4,3,2,1.9405,0.5205,0.0559,2.98,0.029575,3.5500000000000003,16.299999999999997,2745.1
8,3,4,2,2,4,4,2,1,5.75,0.376,0.16749999999999998,7.0,0.33499999999999996,8.65,36.7,915.6999999999999
7,2,4,1,2,2,2,2,1,7.65,0.617,0.09325,19.0,0.1605,5.25,57.1,2135.3
6,1,1,1,2,1,1,1,1,3.8499999999999996,0.42400000000000004,0.354,23.0,0.2915,17.15,26.5,3964.7000000000003
5,1,1,0,2,1,0,1,1,11.45,0.665,0.1305,27.0,0.3785,6.949999999999999,46.9,5794.1
4,1,1,0,1,1,0,1,0,15.25,0.713,0.20500000000000002,39.0,0.42200000000000004,10.35,77.5,1525.5
3,1,1,0,0,0,0,1,0,19.05,0.8089999999999999,0.2425,15.0,0.11710000000000001,12.05,97.9,3354.9
2,0,0,0,0,0,0,0,0,13.350000000000001,0.472,0.27949999999999997,31.0,0.20400000000000001,13.75,67.30000000000001,4574.5
1,0,0,0,0,0,0,0,0,17.15,0.761,0.3165,35.0,0.248,15.45,87.69999999999999,5184.299999999999
