,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,4,3,3,3,2,3,5.9,0.9875,0.03165,14.5,0.44,4.0,17.8015,885.691
9,2,2,3,1,1,1,2,1,4.9,0.8625,0.00164835,4.6930000000000005,0.1365,1.198,76.05000000000001,1771.5
8,1,1,0,1,1,1,1,1,4.099,0.7625,0.005,8.899999999999999,0.2505,2.0,56.65,2213.3
7,0,0,0,1,1,1,1,1,4.300000000000001,0.7875000000000001,0.008335,10.3,0.364,2.8,95.44999999999999,2655.1
6,0,0,0,1,1,1,1,1,4.5,0.8125,0.01165,17.3,0.478,4.8,105.15,4864.1
5,0,0,0,0,0,0,0,0,4.699999999999999,0.8374999999999999,0.015,6.1,0.175,1.6,27.549999999999997,1329.6999999999998
4,0,0,0,0,0,0,0,0,5.1,0.8875,0.018349999999999998,7.5,0.21300000000000002,2.4000000000000004,37.25,3096.9
3,0,0,0,0,0,0,0,0,5.300000000000001,0.9125000000000001,0.021650000000000003,11.7,0.28800000000000003,3.2,46.95,3538.7
2,0,0,0,0,0,0,0,0,5.5,0.9375,0.025,13.100000000000001,0.32599999999999996,3.5999999999999996,66.35,3980.5
1,0,0,0,0,0,0,0,0,5.699999999999999,0.9624999999999999,0.02835,15.9,0.402,4.4,85.75,4422.299999999999
