MICHELANGELO;STIMMEN AUS DEM VOLK;1
MICHELANGELO;KARDINAL AUS DEM GEFOLGE;1
MICHELANGELO;TORRIGIANO;4
MICHELANGELO;ZWEITER STUDENT;1
MICHELANGELO;DIE MENGE;1
MICHELANGELO;DER PAPST;2
MICHELANGELO;EIN HEROLD;1
MICHELANGELO;ERSTER STUDENT;1
MICHELANGELO;CELLINI;2
KARDINAL AUS DEM GEFOLGE;EIN HEROLD;1
KARDINAL AUS DEM GEFOLGE;TORRIGIANO;1
KARDINAL AUS DEM GEFOLGE;DER PAPST;1
ERSTER STUDENT;TORRIGIANO;1
ERSTER STUDENT;ZWEITER STUDENT;1
ERSTER STUDENT;DIE MENGE;1
ERSTER STUDENT;CELLINI;1
TORRIGIANO;STIMMEN AUS DEM VOLK;1
TORRIGIANO;ZWEITER STUDENT;1
TORRIGIANO;DIE MENGE;1
TORRIGIANO;DER PAPST;2
TORRIGIANO;EIN HEROLD;1
TORRIGIANO;CELLINI;2
ZWEITER STUDENT;DIE MENGE;1
ZWEITER STUDENT;CELLINI;1
DIE MENGE;CELLINI;1
DER PAPST;EIN HEROLD;1
DER PAPST;STIMMEN AUS DEM VOLK;1
DER PAPST;CELLINI;1
STIMMEN AUS DEM VOLK;CELLINI;1
