name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
WILLIBALD,0.022222222222222223,7,0.8181818181818182,0.8181818181818182,16,0.39435361275423186,1.222222222222222,1.222222222222222,5,153,2474,110,13826,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.5,0.0944911182523068,1.0,2.0,4.0,2.0,3.0,3.0
CLAUDINE BRIESEN,0.0,6,0.6923076923076923,0.6923076923076923,13,0.3436091419292149,1.4444444444444444,1.4444444444444444,3,87,2179,45,12121,7.0,7.0,7.0,6.0,6.0,7.0,5.0,3.0,6.0,0.1767766952966369,6.0,5.0,8.0,5.0,6.5,6.0
SONDERRATH,0.022222222222222223,7,0.8181818181818182,0.8181818181818182,16,0.3967210439919881,1.222222222222222,1.222222222222222,5,126,1748,95,9554,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.75,0.11080065755348979,2.0,3.0,2.0,3.0,2.5,1.0
FRAU VON AUSTEN,0.0,6,0.6923076923076923,0.6923076923076923,15,0.3860738804954517,1.4444444444444444,1.4444444444444444,4,25,713,13,4035,7.0,7.0,7.0,5.0,4.0,6.0,8.0,7.0,6.375,0.1628087725786649,8.0,4.0,7.0,7.0,7.0,7.0
IDA,0.022222222222222223,7,0.8181818181818182,0.8181818181818182,18,0.4336214035247892,1.222222222222222,1.222222222222222,6,56,699,44,3860,2.0,2.0,3.0,1.0,1.0,2.0,6.0,8.0,3.125,0.31649235490653754,5.0,8.0,1.0,6.0,3.5,5.0
SEYBOLD,0.13333333333333333,8,0.9,0.9,16,0.35186447565019235,1.1111111111111112,1.1111111111111112,6,93,1180,72,6466,1.0,1.0,2.0,2.0,5.0,2.0,4.0,5.0,2.75,0.20863074009907004,2.0,6.0,2.0,3.0,2.5,1.0
FRAU SPETH,0.0,1,0.47368421052631576,0.47368421052631576,1,0.015170333104396732,2.111111111111111,2.111111111111111,1,33,872,17,4824,10.0,10.0,7.0,10.0,10.0,9.0,7.0,6.0,8.625,0.21062725200152588,9.0,7.0,10.0,8.0,9.0,9.0
FRAU VON THIELEN,0.0,2,0.5625,0.5625,2,0.03922396199802616,1.7777777777777777,1.7777777777777777,1,10,117,8,668,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,8.75,0.08838834764831845,10.0,1.0,9.0,9.0,9.0,9.0
SPETH,0.2777777777777778,7,0.8181818181818182,0.8181818181818182,11,0.2219190169996232,1.222222222222222,1.222222222222222,8,171,3830,117,21127,2.0,2.0,1.0,7.0,8.0,1.0,1.0,1.0,2.875,0.3625153937618177,4.0,9.0,5.0,1.0,3.0,3.0
EIN DIENER,0.022222222222222223,7,0.8181818181818182,0.8181818181818182,10,0.23900736100934583,1.222222222222222,1.222222222222222,3,7,55,7,296,2.0,2.0,3.0,8.0,7.0,7.0,10.0,10.0,6.125,0.4195953620538993,7.0,10.0,6.0,9.0,7.5,8.0
