segment;change_rate
1;0.75
2;0.6
3;0.8333333333333334
4;0.6666666666666666
5;0.3333333333333333
6;1.0
7;0.6666666666666666
8;0.6666666666666666
9;0.6666666666666666
10;0.6666666666666666
11;0.6666666666666666
12;0.3333333333333333
13;0.8
14;0.5714285714285714
15;0.875
16;0.6666666666666666
17;0.875
18;0.6
19;1.0
20;0.5714285714285714
21;1.0
22;1.0
23;0.8
24;0.5
25;0.8888888888888888
26;0.6666666666666666
27;0.6666666666666666
28;0.5
29;1.0
30;0.9
31;0.8571428571428571
32;0.8
33;0.75
34;0.4
35;0.8
36;0.6666666666666666
37;0.5
38;1.0
39;0.875
40;0.7142857142857143
41;0.8
42;0.875
43;1.0
44;0.6666666666666666
45;0.75
46;0.25
47;0.6666666666666666
48;1.0
49;1.0
50;0.8
51;0.9
52;0.8571428571428571
