,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,4,4,3,4,4,3,5.0,0.7164999999999999,0.0038313,4.495,0.178,1.099,27.0865,365.3005
9,3,3,3,3,3,3,1,2,7.8,0.9835,0.0735,13.5,0.446,2.9,80.05000000000001,3288.55
8,1,1,1,1,1,2,1,1,4.198,0.683,0.01935,8.5,0.20800000000000002,1.9,238.15,1098.85
7,1,1,1,1,1,0,1,1,5.8,0.7835000000000001,0.03485,9.5,0.327,1.2999999999999998,290.85,1828.75
6,1,1,0,0,1,0,1,1,7.0,0.8835,0.01162,5.5,0.357,1.5,396.25,4748.35
5,0,0,0,0,0,0,1,1,4.6,0.75,0.0271,6.5,0.238,1.7000000000000002,501.65,6938.05
4,0,0,0,0,0,0,0,0,5.4,0.8165,0.04255,7.5,0.26749999999999996,2.1,132.75,2558.6499999999996
3,0,0,0,0,0,0,0,0,6.2,0.85,0.0503,10.5,0.297,2.3,185.45,4018.45
2,0,0,0,0,0,0,0,0,6.6,0.9165000000000001,0.05805,11.5,0.387,2.5,343.54999999999995,5478.25
1,0,0,0,0,0,0,0,0,7.4,0.95,0.06575,12.5,0.4165,2.7,448.95000000000005,6208.15
