name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.0,15,0.4302521008403361,0.9411764705882353,15,0.23427460585059925,2.32421875,1.0625,1,1,52,0,525,6.0,8.0,14.0,13.0,5.0,14.0,26.0,15.0,12.625,0.834355771581541,17.0,16.0,8.0,23.0,15.5,16.0
BURCARD,0.005042016806722689,16,0.45714285714285713,1.0,19,0.2898705960760324,2.1875,1.0,2,1,23,0,132,1.0,2.0,9.0,2.0,1.0,5.0,26.0,22.0,8.5,1.2482130083786638,6.0,32.0,1.0,21.0,11.0,7.0
MARIA MAGDALENA,0.0,13,0.4024844720496894,0.782608695652174,13,3.359121468232464e-05,2.484567901234568,1.2777777777777777,1,2,12,2,55,25.0,25.0,14.0,25.0,26.0,14.0,21.0,28.0,22.25,0.6805656785771251,28.0,7.0,25.0,28.0,26.5,30.0
DRITTER EDELMANN,0.0,15,0.4302521008403361,0.9411764705882353,15,0.23427460585059925,2.32421875,1.0625,1,7,141,2,831,6.0,8.0,14.0,13.0,5.0,14.0,12.0,12.0,10.5,0.4531634835874829,8.0,2.0,8.0,13.0,10.5,6.0
DON GIOVANNI,0.0,15,0.4302521008403361,0.9411764705882353,15,0.23427460585059925,2.32421875,1.0625,1,3,35,2,196,6.0,8.0,14.0,13.0,5.0,14.0,19.0,18.0,12.125,0.6595368369437103,16.0,5.0,8.0,19.0,13.5,13.0
DIE MÄDCHEN,0.0,15,0.4302521008403361,0.9411764705882353,15,0.23427460585059925,2.32421875,1.0625,1,1,6,1,29,6.0,8.0,14.0,13.0,5.0,14.0,26.0,31.0,14.625,1.1686712158320174,23.0,27.0,8.0,32.0,20.0,24.0
RODRIGO BORGIA,0.0,15,0.4302521008403361,0.9411764705882353,15,0.23427460585059925,2.32421875,1.0625,1,1,22,0,128,6.0,8.0,14.0,13.0,5.0,14.0,26.0,24.0,13.75,0.9745649212414151,21.0,22.0,8.0,29.0,18.5,23.0
ZWEITER ENGEL,0.008403361344537816,14,0.42077922077922075,0.8181818181818182,16,3.893695388251869e-05,2.3765432098765435,1.222222222222222,2,38,272,36,1924,20.0,20.0,4.0,8.0,23.0,5.0,6.0,9.0,11.875,0.9715541213510885,13.0,21.0,20.0,7.0,13.5,13.0
LESENDER ENGEL,0.0,2,0.25019305019305016,0.4864864864864865,2,3.5157166789755632e-06,3.9969135802469142,2.0555555555555554,1,2,622,4,3502,35.0,35.0,14.0,35.0,36.0,14.0,21.0,4.0,24.25,1.5779592381119536,31.0,34.0,36.0,14.0,25.0,27.0
CHOR DER MÄRTYRER,0.0,13,0.4024844720496894,0.782608695652174,13,3.359121468232464e-05,2.484567901234568,1.2777777777777777,1,0,0,0,0,25.0,25.0,14.0,25.0,26.0,14.0,35.0,35.0,24.875,0.9942636812521832,33.0,23.0,25.0,35.0,30.0,35.0
