,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,19,19,24,17,19,23,25,31,15.3,0.431,0.0015344999999999998,15.0,0.014357,1.198,4.2075,267.6465
9,6,6,5,6,12,9,2,3,12.5,0.4095,0.00774,13.0,0.2465,2.0,12.75,811.0500000000001
8,5,5,4,5,4,2,2,1,13.899999999999999,0.2605,0.004645,2.99,0.27549999999999997,4.0,29.75,1892.45
7,4,5,2,5,1,1,2,1,2.693,0.4525,0.02945,19.0,0.0725,2.8,38.25,5136.65
6,2,1,1,1,0,1,2,0,4.1,0.28200000000000003,0.02015,5.0,0.043500000000000004,4.8,80.75,1351.75
5,0,0,0,1,0,0,1,0,5.5,0.3035,0.010845,17.0,0.1015,1.6,21.25,2433.15
4,0,0,0,1,0,0,1,0,6.9,0.3245,0.01395,21.0,0.1305,2.4000000000000004,46.75,2973.85
3,0,0,0,0,0,0,1,0,8.3,0.346,0.01705,7.0,0.15949999999999998,3.2,55.25,3514.55
2,0,0,0,0,0,0,0,0,9.7,0.3675,0.02325,9.0,0.1885,3.5999999999999996,63.75,4055.25
1,0,0,0,0,0,0,0,0,11.100000000000001,0.3885,0.02635,11.0,0.21750000000000003,4.4,72.25,4595.950000000001
