name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
TERZKY,0.2747594997594998,15,0.7586206896551724,0.7586206896551724,42,0.4023036688320269,1.3181818181818183,1.3181818181818183,12,67,980,141,5330,1.0,1.0,2.0,1.0,1.0,1.0,5.0,9.0,2.625,0.36558111763523643,1.0,9.0,1.0,5.0,3.0,3.0
DRITTER BEDIENTER,0.004329004329004328,6,0.4230769230769231,0.4230769230769231,8,0.003372208043253111,2.3636363636363638,2.3636363636363638,2,4,62,8,303,14.0,18.0,11.0,15.0,19.0,15.0,19.0,19.0,16.25,0.37050882002225766,18.0,10.0,17.0,19.0,18.0,19.0
MAX,0.033417508417508415,13,0.6111111111111112,0.6111111111111112,41,0.3752105132090059,1.6363636363636362,1.6363636363636362,12,107,3962,518,21230,2.0,3.0,9.0,2.0,2.0,1.0,1.0,1.0,2.625,0.3336586953759785,1.0,5.0,3.0,1.0,2.0,1.0
VIERTER BEDIENTER,0.0,5,0.41509433962264153,0.41509433962264153,5,0.0020712971783007498,2.409090909090909,2.409090909090909,1,1,23,3,114,18.0,20.0,18.0,19.0,21.0,20.0,22.0,21.0,19.875,0.18221724671391565,22.0,2.0,20.0,23.0,21.5,22.0
QUESTENBERG,0.0016920909778052635,10,0.5641025641025641,0.5641025641025641,17,0.18552576708268934,1.7727272727272727,1.7727272727272727,5,59,1679,239,9328,5.0,7.0,13.0,10.0,10.0,10.0,6.0,5.0,8.25,0.3644344934278313,8.0,8.0,11.0,7.0,9.0,8.0
THEKLA,0.00458668315811173,5,0.4888888888888889,0.4888888888888889,13,0.10618041736329312,2.0454545454545454,2.0454545454545454,6,42,1174,162,6185,18.0,16.0,10.0,12.0,13.0,6.0,8.0,7.0,11.25,0.5376453291901642,12.0,20.0,16.0,7.0,11.5,12.0
HERZOGIN,0.0,3,0.4489795918367347,0.4489795918367347,4,0.0219591161597732,2.227272727272727,2.227272727272727,2,17,534,77,2944,21.0,17.0,18.0,21.0,16.0,15.0,11.0,11.0,16.25,0.48527422291789973,18.0,15.0,19.0,11.0,15.0,15.0
COLALTO,0.0,9,0.5365853658536586,0.5365853658536586,13,0.14922971544114308,1.8636363636363635,1.8636363636363635,2,1,8,1,42,11.0,14.0,18.0,12.0,11.0,15.0,22.0,23.0,15.75,0.596679801664415,17.0,22.0,14.0,22.0,18.0,19.0
KAMMERDIENER,0.03760736617879475,6,0.5116279069767442,0.5116279069767442,7,0.06655505655385252,1.9545454545454544,1.9545454545454544,3,4,19,4,97,14.0,15.0,8.0,17.0,14.0,12.0,19.0,22.0,15.125,0.5363463533149878,15.0,19.0,15.0,19.0,17.0,17.0
OCTAVIO,0.054091939806225516,10,0.55,0.55,26,0.26642883239083853,1.8181818181818181,1.8181818181818181,9,99,3020,429,16480,5.0,12.0,7.0,6.0,7.0,3.0,2.0,2.0,5.5,0.4172614801981401,5.0,12.0,7.0,2.0,4.5,5.0
GÖTZ,0.0016920909778052635,10,0.5641025641025641,0.5641025641025641,26,0.293841911530471,1.7727272727272727,1.7727272727272727,4,9,66,11,346,5.0,7.0,13.0,6.0,6.0,11.0,14.0,18.0,10.0,0.5900968443520823,10.0,21.0,7.0,14.0,10.5,10.0
KORNETT,0.0,2,0.3793103448275862,0.3793103448275862,2,0.011994530058414036,2.6363636363636367,2.6363636363636367,1,13,148,25,859,23.0,23.0,18.0,23.0,18.0,20.0,13.0,14.0,19.0,0.5,21.0,17.0,22.0,17.0,19.5,21.0
ISOLANI,0.0016920909778052635,10,0.5641025641025641,0.5641025641025641,32,0.35053555961311894,1.7727272727272727,1.7727272727272727,6,40,854,124,4664,5.0,7.0,13.0,3.0,3.0,6.0,9.0,10.0,7.0,0.43813729094233206,6.0,13.0,5.0,10.0,7.5,6.0
ILLO,0.1233680340823198,13,0.7096774193548387,0.7096774193548387,32,0.3384647785422004,1.409090909090909,1.409090909090909,9,69,1898,268,10284,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.125,0.10431537004953502,3.0,1.0,2.0,3.0,2.5,2.0
TIEFENBACH,0.0016920909778052635,10,0.5641025641025641,0.5641025641025641,22,0.25231950909815093,1.7727272727272727,1.7727272727272727,3,9,93,13,494,5.0,7.0,13.0,8.0,8.0,12.0,14.0,16.0,10.375,0.4861359120657514,11.0,16.0,9.0,12.0,10.5,10.0
BUTTLER,0.0016920909778052635,10,0.5641025641025641,0.5641025641025641,30,0.33588963039001685,1.7727272727272727,1.7727272727272727,6,30,1114,156,6205,5.0,7.0,13.0,5.0,5.0,6.0,10.0,8.0,7.375,0.3594235215691133,7.0,7.0,6.0,9.0,7.5,6.0
SENI,0.0,3,0.4,0.4,3,0.0014181814446675182,2.5,2.5,1,4,89,12,438,21.0,22.0,18.0,22.0,23.0,20.0,19.0,17.0,20.25,0.2651650429449553,23.0,3.0,23.0,21.0,22.0,23.0
WALLENSTEIN,0.06956297670583383,13,0.6111111111111112,0.6111111111111112,21,0.18681900648731525,1.6363636363636362,1.6363636363636362,6,71,2346,337,13029,2.0,3.0,5.0,9.0,9.0,6.0,3.0,3.0,5.0,0.3471825374147068,4.0,6.0,4.0,4.0,4.0,4.0
ZWEITER BEDIENTER,0.004329004329004328,6,0.4230769230769231,0.4230769230769231,8,0.003372208043253111,2.3636363636363638,2.3636363636363638,2,9,112,17,625,14.0,18.0,11.0,15.0,19.0,15.0,14.0,15.0,15.125,0.30935921676911454,15.0,4.0,17.0,15.0,16.0,16.0
KELLERMEISTER,0.0,5,0.41509433962264153,0.41509433962264153,5,0.0020712971783007498,2.409090909090909,2.409090909090909,1,15,517,69,2788,18.0,20.0,18.0,19.0,21.0,20.0,12.0,12.0,17.5,0.44320263021395917,20.0,14.0,20.0,15.0,17.5,18.0
NEUMANN,0.07503607503607503,6,0.55,0.55,6,0.01605901446662061,1.8181818181818181,1.8181818181818181,2,9,205,28,1117,14.0,12.0,4.0,18.0,17.0,15.0,14.0,13.0,13.375,0.5342614227671159,14.0,18.0,13.0,12.0,12.5,13.0
ERSTER BEDIENTER,0.28102453102453107,9,0.6111111111111112,0.6111111111111112,11,0.03262359451374625,1.6363636363636362,1.6363636363636362,3,8,52,11,294,11.0,3.0,1.0,14.0,15.0,12.0,18.0,20.0,11.75,0.8391907241077986,13.0,23.0,10.0,18.0,14.0,14.0
GRÄFIN,0.059729952587095445,7,0.5789473684210527,0.5789473684210527,16,0.12978736468530597,1.7272727272727273,1.7272727272727273,7,51,1246,173,6718,13.0,6.0,6.0,11.0,12.0,5.0,7.0,6.0,8.25,0.3994974521642338,8.0,11.0,12.0,6.0,9.0,8.0
