,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,8,14,6,9,9,10,11,10.45,0.55,0.0139095,3.98,0.02126,1.5445,6.247,203.72299999999998
9,5,4,3,3,3,4,3,4,6.550000000000001,0.398,0.04215,8.0,0.34199999999999997,5.95,16.9,996.5
8,3,3,3,3,2,3,3,2,2.6435,0.436,0.07025,12.0,0.14200000000000002,2.6500000000000004,69.9,601.0999999999999
7,3,3,2,2,2,2,2,2,5.25,0.626,0.267,16.0,0.182,9.25,38.099999999999994,1787.3
6,3,1,1,2,2,2,2,1,13.05,0.474,0.1265,20.0,0.262,11.45,101.7,1391.9
5,2,1,0,2,2,1,1,1,9.15,0.512,0.09815,24.0,0.382,3.75,27.5,2182.7
4,1,1,0,2,1,1,1,1,14.35,0.588,0.155,32.0,0.06155000000000001,4.85,48.7,2973.5
3,0,1,0,2,1,1,1,1,3.9499999999999997,0.702,0.183,40.0,0.1018,7.05,59.3,3764.3
2,0,1,0,1,1,0,0,0,7.85,0.74,0.21100000000000002,28.0,0.302,8.149999999999999,80.5,2578.1000000000004
1,0,0,0,0,0,0,0,0,11.75,0.664,0.239,36.0,0.222,10.350000000000001,91.1,3368.8999999999996
