name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
SIR WILLIAM,0.14814814814814814,5,0.625,0.625,9,0.10005959271432488,1.6,1.6,7,23,1868,6,10606,4.0,5.0,3.0,7.0,7.0,6.0,6.0,4.0,5.25,0.18600595228571123,5.0,10.0,5.0,5.0,5.0,4.0
MELLEFONT,0.26888888888888884,7,0.7692307692307693,0.7692307692307693,37,0.5720040477787331,1.2999999999999998,1.2999999999999998,24,201,7279,96,40061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
DER BEDIENTE,0.0,2,0.43478260869565216,0.43478260869565216,2,0.01728418555569413,2.3000000000000003,2.3000000000000003,1,2,37,1,204,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,10.125,0.08010874305770696,11.0,3.0,10.0,11.0,10.5,10.0
SARA,0.11185185185185186,6,0.7142857142857143,0.7142857142857143,34,0.5385936682176541,1.4,1.4,22,166,8302,80,46187,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.125,0.10431537004953502,2.0,6.0,2.0,2.0,2.0,2.0
BETTY,0.07777777777777778,5,0.6666666666666666,0.6666666666666666,18,0.33531635438591434,1.5,1.5,9,20,438,16,2255,4.0,3.0,5.0,4.0,5.0,5.0,7.0,7.0,5.0,0.1767766952966369,4.0,9.0,4.0,7.0,5.5,6.0
ARABELLA,0.0,3,0.5263157894736842,0.5263157894736842,6,0.09188608883483396,1.9000000000000001,1.9000000000000001,3,13,343,7,1700,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.625,0.06469364618834571,9.0,2.0,9.0,8.0,8.5,9.0
DER WIRT,0.0,2,0.43478260869565216,0.43478260869565216,2,0.00862205708674693,2.3000000000000003,2.3000000000000003,1,7,289,2,1555,10.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,9.875,0.08010874305770696,10.0,3.0,11.0,10.0,10.5,10.0
WAITWELL,0.058888888888888886,4,0.5263157894736842,0.5263157894736842,10,0.11041243341689203,1.9000000000000001,1.9000000000000001,7,41,1630,20,8992,6.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,0.11572751247156893,7.0,7.0,7.0,5.0,6.0,7.0
MARWOOD,0.2003703703703704,6,0.6666666666666666,0.6666666666666666,22,0.338545213643707,1.5,1.5,15,155,6549,74,37134,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.875,0.08010874305770696,3.0,3.0,3.0,3.0,3.0,3.0
HANNAH,0.039629629629629626,4,0.5555555555555556,0.5555555555555556,7,0.08337877664260107,1.7999999999999998,1.7999999999999998,4,16,229,11,1242,6.0,7.0,7.0,8.0,9.0,8.0,8.0,10.0,7.875,0.15580293184477811,8.0,8.0,8.0,8.0,8.0,8.0
NORTON,0.005555555555555556,4,0.5882352941176471,0.5882352941176471,17,0.3430850134866962,1.7,1.7,11,46,925,31,5009,6.0,6.0,8.0,5.0,3.0,4.0,4.0,6.0,5.25,0.19764235376052372,5.0,11.0,6.0,4.0,5.0,4.0
