,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,2,4,3,4,3,5,5,3.75,0.451,0.013315500000000001,7.25,0.093,2.1385,11.850499999999998,446.1175
9,2,2,2,2,3,2,2,2,2.2475,0.5185,0.06725,3.7325,0.3185,6.75,31.849999999999998,1276.75
8,2,2,1,2,2,2,1,1,4.75,0.652,0.04035,17.75,0.03653,22.85,51.75,2103.25
7,2,1,1,2,2,1,1,1,5.75,0.552,0.121,35.25,0.544,4.449999999999999,151.25,6235.75
6,1,1,1,1,0,1,1,1,2.75,0.5854999999999999,0.14750000000000002,10.75,0.1495,9.05,171.14999999999998,7062.25
5,1,1,1,1,0,1,1,1,6.75,0.6185,0.2015,21.25,0.20600000000000002,11.35,191.05,7888.75
4,0,1,1,0,0,1,0,0,3.25,0.719,0.2555,14.25,0.262,15.950000000000001,71.65,2929.75
3,0,1,0,0,0,0,0,0,4.25,0.7525,0.09434999999999999,24.75,0.375,13.65,91.55,3756.25
2,0,0,0,0,0,0,0,0,5.25,0.485,0.1745,28.25,0.43100000000000005,18.25,111.45,4582.75
1,0,0,0,0,0,0,0,0,6.25,0.6855,0.22849999999999998,31.75,0.48750000000000004,20.549999999999997,131.35000000000002,5409.25
