name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
MARINELLI,0.24696969696969692,9,0.8,0.8,30,0.5755313493681369,1.25,1.25,19,221,5013,143,26718,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
EMILIA,0.055050505050505044,6,0.6666666666666666,0.6666666666666666,13,0.3216277947230255,1.5,1.5,7,64,2009,31,10376,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,0.0944911182523068,5.0,4.0,5.0,5.0,5.0,5.0
ORSINA,0.012121212121212123,4,0.6,0.6,8,0.2165973566734155,1.6666666666666667,1.6666666666666667,6,64,2522,30,13449,7.0,5.0,7.0,6.0,6.0,6.0,5.0,4.0,5.75,0.12938729237669142,6.0,6.0,6.0,5.0,5.5,6.0
ODOARDO GALOTTI,0.05505050505050505,6,0.6666666666666666,0.6666666666666666,15,0.3438910532176964,1.5,1.5,12,108,2894,69,15175,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.375,0.06469364618834571,3.0,3.0,3.0,3.0,3.0,3.0
CONTI,0.0,1,0.4444444444444444,0.4444444444444444,2,0.053895450003351754,2.25,2.25,2,24,658,11,3690,11.0,11.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,0.11572751247156893,11.0,5.0,10.0,10.0,10.0,11.0
ANGELO,0.0,2,0.48,0.48,2,0.043367085098793536,2.0833333333333335,2.0833333333333335,2,28,575,19,2992,10.0,10.0,10.0,10.0,12.0,10.0,8.0,9.0,9.875,0.1407489533074504,10.0,8.0,10.0,8.0,9.0,9.0
CLAUDIA GALOTTI,0.045454545454545456,7,0.6,0.6,19,0.3338121419499878,1.6666666666666667,1.6666666666666667,13,73,1819,39,9756,3.0,5.0,5.0,3.0,4.0,3.0,4.0,6.0,4.125,0.1407489533074504,4.0,8.0,4.0,4.0,4.0,4.0
CAMILLO ROTA,0.0,1,0.4444444444444444,0.4444444444444444,1,0.026947725001675877,2.25,2.25,1,6,94,4,504,11.0,11.0,10.0,13.0,13.0,13.0,12.0,12.0,11.875,0.1407489533074504,13.0,8.0,13.0,13.0,13.0,13.0
APPIANI,0.003787878787878788,4,0.5217391304347826,0.5217391304347826,8,0.18028927065318065,1.9166666666666667,1.9166666666666667,5,48,977,29,5185,7.0,9.0,9.0,6.0,8.0,7.0,7.0,7.0,7.5,0.1336306209562122,7.0,7.0,9.0,7.0,8.0,7.0
DER KAMMERDIENER,0.0,1,0.4444444444444444,0.4444444444444444,2,0.053895450003351754,2.25,2.25,2,6,37,6,189,11.0,11.0,10.0,10.0,10.0,10.0,12.0,13.0,10.875,0.1407489533074504,12.0,8.0,10.0,12.0,11.0,12.0
DER PRINZ,0.4671717171717172,8,0.75,0.75,20,0.43936495994692726,1.3333333333333333,1.3333333333333333,17,157,4799,85,25666,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.875,0.04419417382415922,2.0,1.0,2.0,2.0,2.0,2.0
BATTISTA,0.012121212121212123,4,0.6,0.6,7,0.19352156046140695,1.6666666666666667,1.6666666666666667,4,11,176,9,908,7.0,5.0,7.0,8.0,7.0,8.0,11.0,11.0,8.0,0.25877458475338283,8.0,13.0,7.0,11.0,9.0,9.0
PIRRO,0.026515151515151516,5,0.5454545454545454,0.5454545454545454,7,0.13153137846791718,1.8333333333333335,1.8333333333333335,4,25,312,18,1659,6.0,8.0,6.0,8.0,9.0,8.0,9.0,10.0,8.0,0.1767766952966369,8.0,12.0,8.0,8.0,8.0,7.0
