name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
EMILIE,0.0,1,0.5263157894736842,0.5263157894736842,1,0.0852800145387173,1.9000000000000001,1.9000000000000001,1,38,902,25,5013,10.0,10.0,3.0,10.0,10.0,3.0,7.0,5.0,7.25,0.3994974521642338,11.0,8.0,10.0,6.0,8.0,10.0
ILONA,0.0,3,0.5882352941176471,0.5882352941176471,3,0.19562946805246967,1.7,1.7,1,124,877,110,4651,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.375,0.13258252147247765,3.0,3.0,3.0,5.0,4.0,3.0
BIANCA,0.0,2,0.5555555555555556,0.5555555555555556,2,0.16863799918622668,1.7999999999999998,1.7999999999999998,1,37,344,32,1938,7.0,7.0,3.0,7.0,7.0,3.0,8.0,8.0,6.25,0.25660906898571273,8.0,6.0,7.0,8.0,7.5,9.0
ANNIE,0.0,3,0.5882352941176471,0.5882352941176471,3,0.1956294680524696,1.7,1.7,1,91,1382,65,7114,3.0,3.0,3.0,3.0,6.0,3.0,5.0,3.0,3.625,0.1484668673956776,4.0,4.0,6.0,3.0,4.5,4.0
MAX,0.2111111111111111,8,0.8333333333333334,0.8333333333333334,12,0.6041681161797857,1.2,1.2,5,515,4841,455,26108,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
FRANZ,0.0,3,0.5882352941176471,0.5882352941176471,3,0.19562946805246967,1.7,1.7,1,13,57,10,300,3.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,4.75,0.4050462936504913,5.0,9.0,3.0,10.0,6.5,5.0
CORA,0.0,2,0.5555555555555556,0.5555555555555556,2,0.16863799918622668,1.7999999999999998,1.7999999999999998,1,34,242,32,1296,7.0,7.0,3.0,7.0,7.0,3.0,9.0,9.0,6.5,0.2912411862553588,9.0,7.0,7.0,9.0,8.0,10.0
ANATOL,0.5888888888888889,10,1.0,1.0,14,0.6180903220741695,1.0,1.0,7,888,13400,676,71993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
KELLNER,0.0,3,0.5882352941176471,0.5882352941176471,3,0.19562946805246967,1.7,1.7,1,3,12,3,55,3.0,3.0,3.0,3.0,3.0,3.0,11.0,11.0,5.0,0.4629100498862757,6.0,11.0,3.0,11.0,7.0,7.0
ELSE,0.0,2,0.5555555555555556,0.5555555555555556,2,0.16863799918622668,1.7999999999999998,1.7999999999999998,1,49,366,46,1712,7.0,7.0,3.0,7.0,7.0,3.0,6.0,7.0,5.875,0.22596519169363863,7.0,5.0,7.0,7.0,7.0,7.0
GABRIELE,0.0,1,0.5263157894736842,0.5263157894736842,1,0.0852800145387173,1.9000000000000001,1.9000000000000001,1,97,1276,76,6669,10.0,10.0,3.0,10.0,10.0,3.0,4.0,4.0,6.75,0.4368617793830381,10.0,10.0,10.0,3.0,6.5,5.0
