ROLLER;SCHWARZ;2
ROLLER;EIN DRITTER VON DER BANDE;2
ROLLER;DIE RÄUBER;2
ROLLER;KARL VON MOOR;2
ROLLER;EIN RÄUBER;2
ROLLER;SPIEGELBERG;2
ROLLER;GRIMM;1
ROLLER;EIN ALTER RÄUBER;2
ROLLER;EINER VON DER BANDE;2
ROLLER;EIN DRITTER RÄUBER;2
ROLLER;SCHWEIZER;2
ROLLER;EIN ZWEITER VON DER BANDE;2
ROLLER;PATER;1
ROLLER;SCHUFTERLE;2
ROLLER;RAZMANN;2
KARL VON MOOR;SCHWARZ;5
KARL VON MOOR;EIN DRITTER VON DER BANDE;5
KARL VON MOOR;HERMANN;1
KARL VON MOOR;DIE RÄUBER;5
KARL VON MOOR;AMALIA;3
KARL VON MOOR;SCHUFTERLE;2
KARL VON MOOR;EIN RÄUBER;5
KARL VON MOOR;SPIEGELBERG;4
KARL VON MOOR;GRIMM;4
KARL VON MOOR;PATER;1
KARL VON MOOR;EIN ALTER RÄUBER;5
KARL VON MOOR;EINER VON DER BANDE;5
KARL VON MOOR;EIN DRITTER RÄUBER;5
KARL VON MOOR;SCHWEIZER;4
KARL VON MOOR;DER ALTE MOOR;2
KARL VON MOOR;EIN ZWEITER VON DER BANDE;5
KARL VON MOOR;FRANZ VON MOOR;1
KARL VON MOOR;KOSINSKY;3
KARL VON MOOR;DANIEL;2
KARL VON MOOR;RAZMANN;3
GRIMM;BEDIENTER;1
GRIMM;EIN ALTER RÄUBER;4
GRIMM;SCHWEIZER;4
GRIMM;DER ALTE MOOR;2
GRIMM;EIN ZWEITER VON DER BANDE;4
GRIMM;FRANZ VON MOOR;1
GRIMM;MOSER;1
GRIMM;DANIEL;1
GRIMM;RAZMANN;2
GRIMM;SCHWARZ;5
GRIMM;EIN DRITTER VON DER BANDE;4
GRIMM;HERMANN;1
GRIMM;DIE RÄUBER;4
GRIMM;AMALIA;1
GRIMM;SCHUFTERLE;1
GRIMM;EIN RÄUBER;4
GRIMM;SPIEGELBERG;3
GRIMM;EINER VON DER BANDE;4
GRIMM;EIN DRITTER RÄUBER;4
GRIMM;VOLK;1
GRIMM;KOSINSKY;1
FRANZ VON MOOR;SCHWARZ;1
FRANZ VON MOOR;HERMANN;3
FRANZ VON MOOR;DER ALTE MOOR;2
FRANZ VON MOOR;AMALIA;4
FRANZ VON MOOR;DANIEL;3
FRANZ VON MOOR;VOLK;1
FRANZ VON MOOR;BEDIENTER;1
FRANZ VON MOOR;SCHWEIZER;1
FRANZ VON MOOR;MOSER;1
EIN ALTER RÄUBER;SCHWARZ;5
EIN ALTER RÄUBER;EIN DRITTER VON DER BANDE;5
EIN ALTER RÄUBER;HERMANN;1
EIN ALTER RÄUBER;DIE RÄUBER;5
EIN ALTER RÄUBER;AMALIA;1
EIN ALTER RÄUBER;SCHUFTERLE;2
EIN ALTER RÄUBER;EIN RÄUBER;5
EIN ALTER RÄUBER;SPIEGELBERG;4
EIN ALTER RÄUBER;EINER VON DER BANDE;5
EIN ALTER RÄUBER;EIN DRITTER RÄUBER;5
