segment;change_rate
1;0.3333333333333333
2;0.3333333333333333
3;1.0
4;0.6666666666666666
5;0.3333333333333333
6;0.3333333333333333
7;0.3333333333333333
8;0.3333333333333333
9;0.6666666666666666
10;0.3333333333333333
11;0.3333333333333333
12;0.5
13;0.8
14;0.3333333333333333
15;1.0
16;0.75
17;0.75
18;0.75
19;0.5
20;0.2
21;0.4
22;0.5
23;0.5
24;0.75
25;0.5
26;0.5
27;1.0
28;0.5
29;0.25
30;1.0
31;0.5
32;0.6666666666666666
33;0.3333333333333333
34;0.5
35;0.5
36;0.25
37;0.6
38;0.75
39;0.3333333333333333
40;0.5
41;0.5
42;0.6
43;0.4
44;0.5
