name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.3421231455545181,18,1.0,1.0,39,0.23927268146291622,1.0,1.0,8,114,1666,273,8653,1.0,1.0,1.0,6.0,8.0,7.0,5.0,5.0,4.25,0.35825719013819424,5.0,18.0,3.0,5.0,4.0,4.0
ANDERE,0.0024509803921568627,11,0.72,0.72,14,0.09018759857761978,1.3888888888888888,1.3888888888888888,2,3,10,3,81,9.0,9.0,9.0,11.0,11.0,11.0,16.0,19.0,11.875,0.46018969303041607,12.0,19.0,11.0,19.0,15.0,15.0
VAN BETT,0.04800549849569456,15,0.8571428571428571,0.8571428571428571,49,0.3323798620119669,1.1666666666666667,1.1666666666666667,16,340,6147,775,33162,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,2.25,0.12938729237669142,2.0,3.0,2.0,1.0,1.5,1.0
RATSDIENER,0.0,4,0.5625,0.5625,4,0.03204180767268851,1.7777777777777777,1.7777777777777777,1,2,32,2,200,15.0,15.0,12.0,16.0,16.0,14.0,17.0,14.0,14.875,0.1940809385650371,16.0,10.0,16.0,18.0,17.0,18.0
MARIE,0.02785299304907148,14,0.8181818181818182,0.8181818181818182,46,0.32999673880513847,1.222222222222222,1.222222222222222,12,152,3007,314,15590,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.875,0.10431537004953502,4.0,1.0,5.0,4.0,4.5,5.0
LEFORT,0.0014524328249818446,11,0.72,0.72,33,0.2615855196943315,1.3888888888888888,1.3888888888888888,8,18,203,20,1192,9.0,9.0,11.0,8.0,7.0,7.0,9.0,10.0,8.75,0.1735912687073534,9.0,8.0,9.0,9.0,9.0,9.0
DIE MÄDCHEN,0.0,7,0.6206896551724138,0.6206896551724138,8,0.06295700683368527,1.6111111111111112,1.6111111111111112,2,8,77,14,423,14.0,14.0,12.0,13.0,13.0,11.0,11.0,11.0,12.375,0.1628087725786649,13.0,7.0,13.0,10.0,11.5,12.0
DIE GÄSTE,0.0024509803921568627,11,0.72,0.72,17,0.11630323699437631,1.3888888888888888,1.3888888888888888,3,4,22,4,116,9.0,9.0,9.0,10.0,10.0,10.0,12.0,16.0,10.625,0.2983399008322075,10.0,16.0,10.0,12.0,11.0,10.0
FRAUEN,0.0,3,0.5454545454545454,0.5454545454545454,3,0.005974514325396517,1.8333333333333335,1.8333333333333335,1,4,26,4,110,17.0,17.0,12.0,17.0,17.0,14.0,12.0,15.0,15.125,0.27900892842856684,17.0,14.0,17.0,13.0,15.0,15.0
MÄNNER,0.0,3,0.5454545454545454,0.5454545454545454,3,0.005974514325396517,1.8333333333333335,1.8333333333333335,1,4,20,4,126,17.0,17.0,12.0,17.0,17.0,14.0,12.0,17.0,15.375,0.2907617765702461,18.0,15.0,17.0,15.0,16.0,17.0
