,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,12,12,13,12,13,13,9,9,8.0,0.6485000000000001,0.0174735,7.3999999999999995,0.16949999999999998,1.099,13.177000000000001,224.7895
9,4,4,4,4,4,4,3,3,10.4,0.731,0.05295,12.2,0.3135,1.9,37.900000000000006,2035.45
8,1,1,1,1,1,1,3,2,5.594,0.607,0.3355,5.792,0.4285,2.9,87.1,1583.35
7,1,1,0,1,0,0,1,1,16.4,0.9795,0.08829999999999999,20.2,0.1985,1.2999999999999998,62.5,679.1500000000001
6,0,0,0,0,0,0,1,1,6.800000000000001,0.6895,0.1235,9.0,0.22699999999999998,1.5,111.7,1131.25
5,0,0,0,0,0,0,1,1,9.2,0.7725,0.15849999999999997,10.600000000000001,0.2555,1.7000000000000002,234.7,3391.75
4,0,0,0,0,0,0,0,1,11.6,0.8135,0.194,13.8,0.2845,2.1,136.3,4295.95
3,0,0,0,0,0,0,0,0,12.8,0.855,0.22949999999999998,15.399999999999999,0.3425,2.3,160.89999999999998,2487.55
2,0,0,0,0,0,0,0,0,14.0,0.8965000000000001,0.26449999999999996,17.0,0.371,2.5,185.5,2939.6499999999996
1,0,0,0,0,0,0,0,0,15.2,0.938,0.3,18.6,0.39949999999999997,2.7,210.10000000000002,3843.8500000000004
